id,title,questionDetail,category,optionA,optionB,optionC,optionD,correctAnswer,answerDetails,difficulty
1,Code Review Culture,"How has your team evolved its code review culture over time? Discuss specific practices, tools, and mindset shifts that have improved both code quality and team collaboration.",Engineering Culture,Mandatory approval only,Pair programming only,Multi-faceted approach,No formal reviews,OptionC,"Effective code review combines automated checks, pair programming for complex changes, async reviews for simpler ones, and a culture of constructive feedback focused on learning.",medium
2,Architectural Decision Records,"How does your team document and communicate architectural decisions? Share your ADR process and how it helps onboard new developers and prevent context loss.",Architecture,Confluence pages,Code comments only,Formal ADR process,No documentation,OptionC,"Formal ADR process captures context, options considered, decision rationale, and consequences. Store ADRs in repo, link from code, and review in onboarding.",hard
3,Testing Philosophy Evolution,"How has your team's testing philosophy evolved? Discuss the balance between unit, integration, and E2E tests, and how you decide what to test.",Testing Strategy,100% coverage goal,Pragmatic test pyramid,Only E2E tests,Minimal testing,OptionB,"Pragmatic test pyramid focuses on high-value unit tests, critical integration points, and key user journey E2E tests. Balance coverage with maintenance cost.",medium
4,CI/CD Pipeline Optimization,"What innovations has your team implemented in CI/CD? Share specific improvements that reduced build times, increased reliability, or improved developer experience.",DevOps,Basic automation only,Fully optimized pipeline,Continuous improvement,Manual deployments,OptionC,"Continuous improvement includes parallelization, caching, flaky test detection, deployment previews, and progressive rollouts. Measure and iterate on pipeline metrics.",hard
5,Technical Debt Management,"How does your team identify, track, and pay down technical debt? Describe your process for making debt visible and getting buy-in for addressing it.",Debt Management,Ignore until critical,Big bang refactors,Incremental improvement,Track but don't fix,OptionC,"Incremental improvement uses debt tracking systems, regular refactoring time, boy scout rule, and clear business impact communication to steadily improve code health.",medium
6,Monitoring and Observability,"How has your team evolved its approach to monitoring and observability? Discuss the journey from basic monitoring to comprehensive observability.",Operations,Basic error logging,Metrics only,Full observability stack,No monitoring,OptionC,"Full observability combines structured logging, distributed tracing, metrics, and error tracking. Focus on answering 'why' not just 'what' during incidents.",hard
7,Knowledge Sharing Practices,"What practices has your team developed for effective knowledge sharing? Discuss both synchronous and asynchronous methods that work for your team.",Knowledge Management,Wiki documentation only,Pair programming only,Blended approach,No formal sharing,OptionC,"Blended approach includes documentation, recorded demos, pair programming, mob sessions, brown bags, and rotation programs. Different knowledge types need different sharing methods.",medium
8,Developer Tool Building,"How does your team decide when to build vs buy developer tools? Share examples of internal tools that significantly improved productivity.",Tooling,Always buy,Always build,Strategic decision matrix,No internal tools,OptionC,"Strategic matrix evaluates core competency alignment, total cost, maintenance burden, and differentiation value. Build when it provides competitive advantage.",hard
9,Incident Response Evolution,"How has your team's incident response process matured? Discuss changes in tooling, processes, and culture that improved MTTR and learning.",Incident Management,Blame and fix,Basic runbooks,Blameless learning culture,No formal process,OptionC,"Blameless culture focuses on system improvement not individual fault. Includes clear roles, runbooks, post-mortems, and systematic improvement implementation.",medium
10,Performance Optimization,"How does your team approach performance optimization? Share your methodology for identifying bottlenecks and measuring improvement impact.",Performance,Premature optimization,React to problems,Proactive performance culture,Ignore performance,OptionC,"Proactive culture includes performance budgets, continuous profiling, load testing, and optimization sprints. Measure user impact not just technical metrics.",hard
11,API Design Standards,"How has your team developed and evolved API design standards? Discuss the balance between consistency and flexibility in your approach.",API Development,No standards,Rigid standards,Evolving guidelines,Each team decides,OptionC,"Evolving guidelines provide consistency while allowing innovation. Include versioning strategy, error handling, authentication patterns, and documentation requirements.",medium
12,Security Integration,"How has your team integrated security into the development workflow? Share specific practices that shifted security left without slowing delivery.",Security,Security team reviews,Automated scanning only,DevSecOps integration,Security at end,OptionC,"DevSecOps integration includes IDE security plugins, pre-commit hooks, SAST/DAST in CI, dependency scanning, and security champions program.",hard
13,Remote Collaboration,"How has your team adapted development practices for remote/hybrid work? Discuss tools, processes, and cultural changes that maintained or improved productivity.",Remote Work,Same as office,Video calls only,Comprehensive adaptation,Productivity declined,OptionC,"Comprehensive adaptation includes async-first communication, virtual pair programming tools, timezone-aware scheduling, and intentional team building.",medium
14,Microservices Lessons,"What lessons has your team learned from microservices adoption? Discuss both successes and challenges in your architectural evolution.",Architecture,Monolith is better,Microservices everywhere,Pragmatic service design,No clear strategy,OptionC,"Pragmatic design starts with modular monoliths, extracts services based on scaling needs, team boundaries, and deployment independence. Not everything needs to be a service.",hard
15,Database Evolution,"How has your team's approach to data management evolved? Discuss migrations, schema evolution, and polyglot persistence decisions.",Data Management,Single database only,NoSQL everything,Fit-for-purpose data stores,No strategy,OptionC,"Fit-for-purpose approach matches data stores to use cases: RDBMS for transactions, NoSQL for flexibility, cache for performance, search for discovery.",medium
16,Code Ownership Models,"How does your team balance code ownership with collective responsibility? Discuss the evolution of your ownership model and its impact.",Ownership,Individual ownership,No ownership,Collective ownership with expertise,Strict team boundaries,OptionC,"Collective ownership with recognized expertise encourages collaboration while maintaining quality. Code owners guide but don't gate contributions.",medium
17,Developer Experience Metrics,"What metrics does your team track for developer experience? Share how these metrics drive tooling and process improvements.",DX Metrics,No metrics,Velocity only,Comprehensive DX metrics,Manager decides,OptionC,"Comprehensive metrics include build time, test time, deployment frequency, time to first commit, developer NPS, and tooling satisfaction. Drive improvements with data.",hard
18,Innovation Time Results,"How does your team's innovation time translate to production improvements? Share examples of hackathon or 20% time projects that became core features.",Innovation,No innovation time,Hackathons only,Integrated innovation,Never productionize,OptionC,"Integrated innovation includes hackathons, innovation sprints, and exploration stories. Success requires clear paths from prototype to production.",medium
19,Dependency Management,"How does your team manage external dependencies? Discuss your approach to updates, security patches, and avoiding dependency hell.",Dependencies,Update everything always,Never update,Balanced update strategy,No management,OptionC,"Balanced strategy includes automated security updates, scheduled minor updates, careful major version migrations, and dependency audit tools.",medium
20,Platform Engineering Impact,"How has platform engineering improved your team's productivity? Share specific examples of platform capabilities that unlocked developer velocity.",Platform,No platform team,Basic infrastructure only,Full platform capabilities,Outsource everything,OptionC,"Full platform includes self-service infrastructure, golden paths, developer portals, and automated compliance. Measure impact through developer productivity metrics.",hard
