Category,Question#,Title,Detail_lesson,School,CustomInstruction,Image
"Work Setup",1,"Best day to gather in person","Teams that meet in person some of the time rarely agree on which day earns the travel.","","Answer with one weekday and a reason of five words or fewer. Pick the reason you would actually defend out loud.",""
"Work Setup",2,"Meetings you can absorb in a day","There is a number above which meetings stop being coordination and start being the work itself.","","Give a number, then name the type of meeting that breaks the limit first for you.",""
"Work Setup",3,"Core hours worth protecting","Distributed teams trade overlap for flexibility, and the right balance is genuinely contested.","","Answer with a number of hours per day, assuming colleagues several time zones away. Say what you would protect those hours for.",""
"Communication",4,"Fastest way to reach you","Everyone has a preferred channel and a channel they actually check. They are often not the same.","","Name a single channel and the response time you would realistically hit on it. Do not list a backup.",""
"Communication",5,"Camera on or camera off","Video defaults get set once, early, and are rarely revisited even as teams change shape.","","Take a side in three words. Then give the one situation where you would do the opposite.",""
"Communication",6,"How often a status update is worth writing","Update cadence is usually inherited rather than chosen, and often serves a reader nobody has identified.","","Give a frequency, then say who the update is genuinely for: the team, a manager, or you.",""
"Growth",7,"Learn by doing or read first","Most people have a strong default and assume it is the universal one.","","Pick one and name the last thing you learned that way. One sentence, with the actual thing named.",""
"Growth",8,"The right length for a training session","Attention, retention and calendar reality pull in different directions here.","","Answer with a duration and the format that duration needs: talk, workshop, or self-paced.",""
"Tools",9,"One tool you would remove","Tool sprawl is easy to complain about and hard to reverse, because every tool has at least one committed user.","","Name a single tool and what takes over its job. If nothing replaces it, say what simply stops happening.",""
"Tools",10,"Written doc or short video","The same explanation lands very differently depending on the medium and the reader's hurry.","","Choose one for explaining a process to a colleague. Then name the situation that flips your answer.",""
