Category,Question#,Title,QuestionDetail,AnswerDetails,School,CustomInstruction,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Difficulty
"Geography and Earth",1,"The Deepest Water","The Mariana Trench, the deepest known point in any ocean, lies in which ocean?","The Challenger Deep, at the southern end of the Mariana Trench, sits roughly 11,000 metres below the surface - deeper than Mount Everest is tall.","","Picture where the trench sits relative to the Philippines and Guam before you look at the options.","Atlantic","Pacific","Indian","Southern","OptionB","easy"
"Geography and Earth",2,"The Deepest Lake","Lake Baikal, the deepest freshwater lake on Earth, lies in which country?","Lake Baikal in southern Siberia reaches about 1,640 metres deep and holds roughly a fifth of the world's unfrozen surface fresh water.","","Deep matters here, not large. Rule out the options by continent first.","Canada","Chile","Russia","Tanzania","OptionC","medium"
"Geography and Earth",3,"Everest's Other Side","Mount Everest sits on the border between Nepal and which other country?","The summit lies on the Nepal-China border; the northern approach runs through the Tibet Autonomous Region of China.","","Two of these options border Nepal. Decide which one the summit itself actually touches.","Bhutan","India","Pakistan","China","OptionD","easy"
"Science and Nature",4,"Mostly Not Oxygen","Which gas makes up roughly 78 percent of Earth's atmosphere?","Nitrogen accounts for about 78 percent of dry air by volume, with oxygen at about 21 percent and argon making up most of the remainder.","","The intuitive answer is the one we breathe for. Trust the number, not the intuition.","Nitrogen","Oxygen","Argon","Carbon dioxide","OptionA","easy"
"Science and Nature",5,"Three Hundred Thousand What?","In a vacuum, light travels at approximately 300,000 of which unit per second?","The speed of light in a vacuum is 299,792,458 metres per second, which is very close to 300,000 kilometres per second.","","Work from the number rather than the memory of the phrase. Which unit makes 300,000 the right order of magnitude?","Miles","Metres","Kilometres","Nautical miles","OptionC","medium"
"Science and Nature",6,"Top of the Scale","On the Mohs scale of mineral hardness, which mineral scores the maximum value of 10?","The Mohs scale runs from talc at 1 to diamond at 10. Corundum, which includes rubies and sapphires, sits just below at 9.","","One of these is famously second-hardest. Make sure you are not picking the runner-up.","Quartz","Corundum","Topaz","Diamond","OptionD","medium"
"Language and Words",7,"Reads Both Ways","Which of these words is a palindrome - identical read forwards and backwards?","A palindrome reads the same in both directions. Level reverses to level; the others do not.","","Spell each option backwards in your head before choosing. Three of them are near misses on purpose.","Lever","Level","Later","Layer","OptionB","easy"
"Language and Words",8,"A Word for a Wave","The English word tsunami is borrowed from which language?","Tsunami comes from Japanese, combining the words for harbour and wave - a name given by coastal communities who saw the effect in port.","","Think about the literal meaning of the word - harbour wave - and which coastal culture would have coined it.","Hawaiian","Mandarin","Japanese","Korean","OptionC","easy"
"Language and Words",9,"Coined in a Play","The word robot entered English from a 1920 stage play by Karel Capek. Which language did it come from?","Capek's play R.U.R. introduced the word, adapted from a Slavic root meaning forced labour. Capek credited his brother Josef with the coinage.","","The playwright's nationality is the answer. If the name is unfamiliar, work from the root meaning forced labour.","Czech","Polish","Hungarian","Russian","OptionA","hard"
"History and Invention",10,"Where the Web Began","The World Wide Web was proposed in 1989 by Tim Berners-Lee while he was working at which organisation?","Berners-Lee wrote his proposal at CERN, the particle physics laboratory near Geneva, to help researchers share documents across incompatible systems.","","Three of these are famous for computing. The answer is famous for something else entirely.","NASA","MIT","IBM","CERN","OptionD","medium"
"History and Invention",11,"Movable Type","Around 1440 Johannes Gutenberg introduced movable-type printing to Europe. He worked in a city in which modern-day country?","Gutenberg worked in Mainz, in present-day Germany. Movable type had existed earlier in East Asia; his contribution was a practical metal-type press for European scripts.","","The city was Mainz. Place it on a map and the country follows.","Italy","Germany","Netherlands","France","OptionB","easy"
"History and Invention",12,"The Key to a Script","The Rosetta Stone was the crucial aid in deciphering which writing system?","The stone carries the same decree in Egyptian hieroglyphs, Demotic script and ancient Greek, letting scholars use the Greek to unlock the hieroglyphs.","","The stone's value came from a script scholars could already read sitting beside one they could not. Which pair does that describe?","Linear B","Mayan glyphs","Egyptian hieroglyphs","Sumerian cuneiform","OptionC","medium"
