Category,Question#,Title,Detail_lesson,School,CustomInstruction
Architecture,1,THE IMPORTANCE OF THRESHOLDS,"Architect Christopher Alexander taught that thresholds - the spaces between inside and outside - are crucial for human comfort. A good threshold provides a gradual transition rather than an abrupt change. This applies to physical spaces, user interfaces, and organizational boundaries. When designing any system, create buffer zones and transitional spaces that help people adjust gradually rather than forcing sudden shifts.",Christopher Alexander,"Name one abrupt transition in your work — a handover, an onboarding, a release — and describe the buffer you would put in front of it."
Architecture,2,DESIGNING FOR HUMAN SCALE,"Jane Jacobs observed that cities work best when designed for pedestrians, not cars. Buildings and spaces should relate to human proportions and movement patterns. This principle extends beyond physical design - organizational structures, user interfaces, and processes should be sized appropriately for human cognition and behavior rather than optimized for abstract efficiency.",Jane Jacobs,"Name something in your world that was sized for the system rather than for the people in it, and what the right size would be."
Architecture,3,FORM FOLLOWS FUNCTION,"Louis Sullivan's principle that the shape of a building should follow its intended function revolutionized design thinking. Before decorating or optimizing, first deeply understand the core purpose and requirements. This applies to software design, business processes, and team structures - let the essential function drive the form, not the other way around.",Louis Sullivan,Describe something you have built or run whose shape no longer matches its purpose. What would you change first?
Architecture,4,THE POWER OF NATURAL LIGHT,"Architect Louis Kahn believed that natural light should be the primary consideration in any design. Spaces feel more alive and human when they connect to natural rhythms and light sources. In any environment you create - physical or digital - consider how to incorporate natural elements, variability, and connections to the outside world rather than creating sterile, artificial environments.",Louis Kahn,"Name one sterile, over-controlled part of your environment — physical or digital — and one variation you would let back in."
Architecture,5,CONTEXTUAL DESIGN THINKING,"Great architecture responds to its specific site, climate, and cultural context rather than imposing a universal solution. Hassan Fathy demonstrated this by using local materials and traditional building techniques in modern designs. When solving problems, first understand the unique constraints and opportunities of your specific context before applying generic best practices.",Hassan Fathy,"Name a best practice you imported that did not fit, and the local constraint that broke it."
Architecture,6,UNIVERSAL DESIGN PRINCIPLES,"Architect Ron Mace developed universal design - creating spaces usable by all people regardless of age, ability, or status. Designing for the most constrained user often creates better solutions for everyone. When creating systems, processes, or products, consider the most challenging use cases first - solutions that work for edge cases are usually more robust and inclusive.",Ron Mace,"Name the most constrained user of something you own, and one change that would help them and everyone else."
Architecture,7,THE GENIUS LOCI CONCEPT,"Architect Christian Norberg-Schulz emphasized that every place has a unique spirit or character that should be preserved and enhanced. Before changing any environment, spend time understanding its existing culture, rhythms, and unspoken rules. Successful interventions build on what already works rather than starting from scratch.",Christian Norberg-Schulz,"Describe something already working in a team or system you are about to change, and how you would find out what it is before you touch anything."
Architecture,8,LAYERED COMPLEXITY,"Architect Christopher Alexander's pattern language shows how complex, beautiful environments emerge from simple rules applied at multiple scales. Instead of trying to control every detail, create good underlying principles and let complexity emerge naturally. This applies to organizational design, software architecture, and community building.",Christopher Alexander,Give one simple rule you could set that would make good outcomes likely without you specifying them.
Architecture,9,ADAPTIVE REUSE PRINCIPLES,"Renovating existing structures often produces more interesting and more sustainable results than building new. Before discarding existing systems, processes or structures, look for ways to adapt and repurpose them — the constraints of working with what is already there tend to spark more creative solutions.",,"Name something you were about to replace that could be adapted instead, and what the constraint would force you to invent."
Architecture,10,BUILDING FOR PERMANENCE,"Traditional master builders designed structures to last centuries by understanding materials deeply and building in redundancy. In an age of rapid change, there's value in creating some elements that are deliberately permanent and stable. Identify what should endure in your systems and invest extra effort in making those elements robust and timeless.",,"Name one thing in your system that should still be true in five years, and what you would invest to make that likely."
Law,1,BURDEN OF PROOF CLARITY,"In any dispute, clearly establishing who must prove what prevents endless argument. Before starting a negotiation or a decision process, agree explicitly on what evidence is required and who is responsible for providing it. This stops debates from devolving into competing assertions and creates a clear path to resolution.",,"Take a live disagreement and state plainly: what would have to be shown, and by whom, to settle it."
Law,2,PRECEDENT AND CONSISTENCY,"The legal principle of stare decisis (let the decision stand) creates predictability and fairness by treating similar cases similarly. When making decisions in your organization, document the reasoning and apply consistent principles to similar situations. This builds trust and reduces the need to re-argue the same issues repeatedly.",,"Name a decision your team keeps re-arguing, and the precedent you would write down to stop it."
Law,3,DUE PROCESS PROTECTION,"Constitutional due process ensures people have notice and opportunity to be heard before adverse decisions affect them. Before implementing changes that impact others, provide clear advance notice, explain the reasoning, and create genuine opportunities for input. This prevents resentment and often improves the final decision through broader perspective.",,"Name a change you are about to make that will affect others, and the notice and input you owe them before it lands."
Law,4,DISCOVERY AND TRANSPARENCY,"Legal discovery requires parties to share relevant information before trial, preventing surprise attacks and enabling fair resolution. In business and personal relationships, establish norms for sharing relevant information early and completely. Hidden information usually surfaces eventually and causes more damage when revealed late.",,"Name something you are currently sitting on that will surface eventually, and what it costs to share it now instead."
Law,5,ALTERNATIVE DISPUTE RESOLUTION,"Mediation and arbitration often achieve better outcomes than adversarial litigation because they focus on interests rather than positions. When conflicts arise, explore collaborative problem-solving approaches before resorting to formal procedures or authority-based decisions. Understanding underlying interests often reveals solutions that satisfy everyone.",,"Take a conflict you are in and name the underlying interest on each side, not the stated position."
Law,6,CONTRACT INTERPRETATION,"Good contracts anticipate potential misunderstandings and address them explicitly upfront. When creating agreements - formal or informal - invest time in clarifying expectations, defining key terms, and discussing potential scenarios. What seems obvious to you may not be obvious to others, and clarity prevents most disputes.",,Name the term in a current agreement or plan that you and the other party would define differently.
Law,7,FIDUCIARY DUTY STANDARDS,"Lawyers and trustees must put their clients' interests ahead of their own and avoid conflicts of interest. When you hold any position of trust or authority, regularly examine whether your decisions are truly serving others' best interests or your own convenience. Transparency about potential conflicts maintains trust and credibility.",,Name a place where your own convenience and someone else's interest quietly point in different directions.
Law,8,EVIDENCE-BASED REASONING,"Legal arguments succeed based on admissible evidence and logical reasoning, not rhetoric or emotion. When advocating for decisions or changes, focus on verifiable facts and clear logical connections. Emotional appeals may work temporarily but evidence-based arguments create lasting conviction and buy-in.",,Take an argument you have been making and separate it into what is verifiable and what is preference.
Law,9,REASONABLE PERSON STANDARD,"Many legal decisions ask what a reasonable person would do in similar circumstances. This provides an objective standard that transcends individual preferences. When facing difficult decisions, consider what a reasonable, well-informed person would conclude based on available information, not just what you prefer or what's easiest.",,"Describe a difficult call you face, then say what a well-informed outsider would conclude from the same facts."
Law,10,STATUTES OF LIMITATIONS,"Legal systems impose time limits on when claims can be brought to encourage prompt resolution and prevent stale disputes. In your work and relationships, address issues promptly rather than letting them accumulate. Old grievances become harder to resolve fairly as memories fade and circumstances change.",,"Name an issue you have been letting age, and what will make it harder to resolve fairly if you wait another quarter."
Design,1,FORM AND FUNCTION BALANCE,"Dieter Rams' principle that good design is as little design as possible revolutionized product thinking. Every element should serve a purpose, and ornamentation that doesn't enhance function creates confusion. When creating anything - products, processes, presentations - regularly ask what can be removed without losing essential functionality.",Dieter Rams,"Name one element of something you own — a document, a screen, a process — that you could delete today without losing function."
Design,2,USER-CENTERED DESIGN,"IDEO's human-centered design approach starts with deep empathy for actual users rather than assumptions about what they need. Before designing solutions, spend significant time observing and talking with the people who will actually use what you create. Your assumptions about user needs are probably wrong in important ways.",IDEO,"Name one assumption you hold about your users, and the cheapest way to find out whether it is true this week."
Design,3,ITERATIVE PROTOTYPING,"Designer Tom Kelley taught that building quick, rough prototypes teaches you more than extensive planning. Make your ideas tangible as quickly as possible, test them with real users, and iterate based on feedback. The fastest way to fail is to build the wrong thing perfectly on the first try.",Tom Kelley,"Describe the roughest version of your current idea that would still teach you something, and how long it would take to make."
Design,4,CONSTRAINT-DRIVEN CREATIVITY,"Charles Eames held that design depends largely on constraints. When facing a creative challenge, impose artificial limits — budget, time, materials or features. Constraints force attention onto the essential and often produce more elegant solutions than open-ended freedom.",Charles Eames,"Impose one artificial limit on a problem you are working on — half the budget, half the features, half the time — and say what it forces."
Design,5,VISUAL HIERARCHY PRINCIPLES,"Typographer Jan Tschichold showed that clear visual hierarchy guides attention and comprehension. The most important information should be most prominent, with secondary elements appropriately de-emphasized. This applies to presentations, documents, user interfaces, and even meeting agendas - structure information to guide understanding.",Jan Tschichold,Take something you present regularly and name what is currently most prominent and what should be.
Design,6,AFFORDANCES AND SIGNIFIERS,"Don Norman's research on affordances reveals that good design makes correct actions obvious and incorrect actions difficult or impossible. When creating any system, ensure that the right way to use it is the easiest and most natural way. If people consistently use something wrong, the design is the problem, not the users.",Don Norman,"Name a place where people consistently use something wrong, and the design change that would make the right way the easy way."
Design,7,DESIGN THINKING PROCESS,"Stanford d.school's design thinking methodology - empathize, define, ideate, prototype, test - provides a structured approach to innovation. When facing complex challenges, resist jumping immediately to solutions. Instead, invest time in understanding the problem deeply before generating multiple potential approaches and testing them systematically.",Stanford d.school,"Name a solution you have already half-decided on, and the problem statement you skipped past to get there."
Design,8,ACCESSIBILITY AS UNIVERSAL DESIGN,"The curb-cut effect: kerb ramps were built for wheelchair users and turned out to help anyone with a pushchair, a trolley or a suitcase. Designing for users with different abilities, devices, contexts and expertise usually produces something better for typical users too.",,"Name the constrained case for something you own — poor connection, small screen, no context — and what fixing it would improve for everyone."
Design,9,EMOTIONAL DESIGN IMPACT,"Designer Jonathan Ive emphasized that products should create positive emotional connections, not just functional utility. People's feelings about using something are as important as whether it technically works. Consider the emotional experience you're creating, not just the functional requirements you're meeting.",Jony Ive,"Describe how people feel using something you built. If you do not know, say how you would find out."
Design,10,SYSTEMS THINKING APPROACH,"Designer Charles Eames viewed every design challenge as part of a larger system of relationships. Before optimizing individual components, understand how they connect to and affect the broader context. The best local solution might create system-wide problems, while system optimization might require local trade-offs.",Charles Eames,Name a local optimisation you are considering and the system-level cost it would create.
Psychology,1,COGNITIVE LOAD MANAGEMENT,"Psychologist George Miller's research on working memory limits showed that people can only process 7±2 pieces of information simultaneously. When presenting information or designing experiences, chunk complex information into smaller, manageable pieces. Cognitive overload leads to poor decisions and user frustration.",George Miller,Take something you present or explain regularly and describe how you would chunk it. Name what you would cut to get under the limit.
