Category,Question#,Title,Detail_lesson,School,CustomInstruction
Engineering Culture,1,Code Review Culture,How has your team evolved its code review culture over time?,,"Name one review practice you adopted and one you dropped. Say what review is actually for in your team — catching defects, spreading knowledge, or gatekeeping."
Architecture,2,Architectural Decision Records,How does your team document and communicate architectural decisions?,,"Say where architectural decisions live and who reads them. If a new joiner could not find the reason behind your last big choice in ten minutes, say that instead."
Testing Strategy,3,Testing Philosophy Evolution,How has your team's testing philosophy evolved?,,"Give your rough split across unit, integration and end-to-end tests, and the rule you use to decide something is not worth testing."
DevOps,4,CI/CD Pipeline Optimization,What innovations has your team implemented in CI/CD?,,"Give one before-and-after number: build minutes, failure rate, or time to production. Then say what it cost to get there."
Debt Management,5,Technical Debt Management,"How does your team identify, track, and pay down technical debt?",,Describe how debt becomes visible to someone who does not read code. Name the last item you actually paid down and who approved the time.
Operations,6,Monitoring and Observability,How has your team evolved its approach to monitoring and observability?,,"Name the last incident where your tooling could not answer the question you had, and what you added afterwards."
Knowledge Management,7,Knowledge Sharing Practices,What practices has your team developed for effective knowledge sharing?,,Name one thing that works asynchronously in your team and one that only works live. Say which you tried to move and failed.
Tooling,8,Developer Tool Building,How does your team decide when to build vs buy developer tools?,,"Give your build-versus-buy rule in one sentence, and one tool you regret building."
Incident Management,9,Incident Response Evolution,How has your team's incident response process matured?,,"Describe what changed after one specific incident — a runbook, a rota, a default setting — and whether time-to-recovery actually moved."
Performance,10,Performance Optimization,How does your team approach performance optimization?,,"Describe how you find the bottleneck before optimising, and one time you optimised the wrong thing."
API Development,11,API Design Standards,How has your team developed and evolved API design standards?,,Name one API rule everyone follows and one everyone quietly breaks. Say which of those is the standard's fault.
Security,12,Security Integration,How has your team integrated security into the development workflow?,,Name one security control that runs automatically and one that still needs a human. Say what shifting left cost in delivery time.
Remote Work,13,Remote Collaboration,How has your team adapted development practices for remote/hybrid work?,,Name one practice that survived the move to remote and one that quietly died. Say which one you miss.
Architecture,14,Microservices Lessons,What lessons has your team learned from microservices adoption?,,"Name the service boundary you would draw differently now, what you gained, and what it cost in operations."
Data Management,15,Database Evolution,How has your team's approach to data management evolved?,,Describe your last painful migration and what you do differently now. Say whether running more than one datastore has paid for itself.
Ownership,16,Code Ownership Models,How does your team balance code ownership with collective responsibility?,,"Say who gets paged when a service breaks at three in the morning, and whether that matches who owns the code."
DX Metrics,17,Developer Experience Metrics,What metrics does your team track for developer experience?,,Name one developer-experience metric you track and one decision it changed. Metrics that never changed a decision are decoration.
Innovation,18,Innovation Time Results,How does your team's innovation time translate to production improvements?,,"Name one exploratory project that actually reached production and what carried it across. If none has, say what stops them."
Dependencies,19,Dependency Management,How does your team manage external dependencies?,,Describe your update policy and the last time it bit you. Say how long a critical patch takes to reach production today.
Platform,20,Platform Engineering Impact,How has platform engineering improved your team's productivity?,,Name one thing developers no longer have to do and roughly how much time that gave back. Then name what the platform made harder.
