Category,Question#,Title,Detail_lesson,School,CustomInstruction,SourceAttribution,Tags
Architecture,1,"Build a Threshold, Not a Door","From A Pattern Language, Christopher Alexander's book on building: a threshold is the space between outside and inside, and its whole job is to make the change gradual. Alexander argues that an abrupt boundary - step off the street and you are in the room - leaves people disoriented for some time afterwards, and that good buildings spend real floor area on a transition nobody consciously notices. None of this was written about software, or about teams. Where does our work move someone abruptly across a boundary with nothing built either side of it - a new hire's first day, a customer's first screen, a handover between two teams? Name the boundary, then name who would object to spending time or budget on the space around it.","School of Architecture","","Christopher Alexander, A Pattern Language (1977)","transition|onboarding|handover"
Architecture,2,"Design for the Most Constrained Person First","Ron Mace, an architect who used a wheelchair from the age of nine, coined universal design at North Carolina State: build so the widest possible range of people can use the thing without adaptation, and stop treating accessibility as a retrofit. His argument was not a charitable one - he held that designing for the most constrained user produces a better building for everyone, and the curb cuts built for wheelchairs are now used mostly by luggage, strollers and delivery carts. This is a rule out of building codes, not out of ours. Which of our decisions currently starts from the typical user and adds the hard cases afterwards, and what would have to change in how we prioritise for the hard case to come first? Say who would push back, and what they would say.","School of Architecture","","Ron Mace, North Carolina State University, universal design","accessibility|prioritisation|edge-cases"
Law,1,"Agree Who Has to Prove What, Before You Argue","A court fixes the burden of proof before the argument starts: which side must prove what, to what standard, settled before a word of evidence is heard. Louis Brandeis held that this is most of what makes a hearing fair, because a dispute in which both sides believe the other one must do the proving has no end condition. Nothing about how we decide things works this way. Take a recurring argument on this team - an architecture choice, a rollback, a hiring bar. Who would have to carry the burden for it, what evidence would discharge it, and who loses power the moment that is written down?","School of Law","","Anglo-American burden of proof; Louis Brandeis","decisions|evidence|conflict"
Law,2,"Discovery: Everything Relevant, Before the Argument","In civil litigation, discovery obliges each side to hand the other every relevant document before trial, including the documents that damage them. Surprise evidence is not a clever tactic there; it is grounds for sanction. The reasoning is that a decision made on half the record is not worth having, and that hidden material surfaces eventually and costs more when it does. That is a rule for adversaries, imposed by a judge, and we have no judge. What would a discovery obligation look like on our next significant decision - what would have to go on the table that currently does not - and who would have a real reason to resist putting it there?","School of Law","","Civil procedure: pre-trial discovery","transparency|decisions|information"
Design,1,"If They Use It Wrong, the Design Is Wrong","Don Norman's The Design of Everyday Things puts the blame for user error on the designer: a door that needs a PUSH sign is a badly designed door, and the sign is an admission of failure. His rule is that the correct action should be the easiest and most obvious one and the incorrect action should be difficult or impossible - the affordance does the teaching, not the label. Norman was writing about doors, stoves and telephones. Where do we currently ship a sign - a warning, a runbook step, a training session, a lint rule people routinely override - in the place where the design should have made the mistake impossible? Pick one, and say who would have to give something up for that sign to be removed.","School of Design","","Don Norman, The Design of Everyday Things (1988)","usability|error|process"
Design,2,"Tighten the Constraint on Purpose","The graphic designer Paul Rand worked inside deliberately narrow limits - few colours, one mark, no gradients - and argued the limits were the source of the work rather than a tax on it. He would impose a constraint the client had not asked for and then solve inside it. The claim, which is not obviously true and is not ours: an unlimited brief produces a worse result than a tight one, because unlimited means nothing has been decided yet. Name a piece of our work that currently has no real constraint on it. What constraint would you impose - a budget, a date, a maximum number of screens, one dependency - and who would have to agree to be bound by it?","School of Design","","Paul Rand, graphic design practice","constraints|scope|creativity"
Psychology,1,"Safe Enough to Say the Bad News","Amy Edmondson set out to show that better hospital teams make fewer drug errors, and found the opposite: the better teams reported more of them. They were not making more mistakes; they were safe enough to write them down. Psychological safety - a shared belief that speaking up will not be punished - came out of that finding, measured across nursing units rather than engineering teams. This is somebody else's result from somebody else's ward. Where in our week does bad news travel slower than good news? Name the specific moment it happens, and name what would have to change in how the person receiving it reacts.","School of Psychology","","Amy Edmondson, Harvard Business School, hospital error study","safety|feedback|culture"
Psychology,2,"A Loss Weighs Twice a Gain","Kahneman and Tversky's prospect theory reports that people feel a loss about twice as strongly as an equivalent gain: offered a coin flip that pays 100 or costs 100, most people decline. The finding comes from laboratory gambles with students, and it is used to explain why the same change described as a gain and as a loss gets different answers from the same person. It says nothing whatever about our roadmap. Take a change we are currently trying to get people to accept. What are they actually being asked to give up - a tool, a habit, an ownership, a name on something - and what would make that loss visible and compensated rather than argued away?","School of Psychology","","Kahneman and Tversky, prospect theory (1979)","change|adoption|framing"
Engineering,1,"Improving the Part Can Worsen the Whole","W. Edwards Deming taught Japanese manufacturers that a system optimised part by part gets worse rather than better: speed up a machine that is not the bottleneck and you have produced inventory, not output. His instruction was to find the constraint first and leave everything else alone, and he was blunt that local performance targets guarantee the opposite behaviour. That is a lesson from production lines carrying physical inventory. What is the actual bottleneck in how work gets from an idea to a customer here? Name it, then name the local improvement we are making somewhere else instead, and who is measured on that improvement.","School of Engineering","","W. Edwards Deming, system optimisation","flow|bottleneck|metrics"
Engineering,2,"Build the Margin In, Then Do Not Spend It","A structural engineer sizes a beam for a load several times larger than it will ever carry, and the multiplier is written into the building code rather than left to the engineer's judgement. The reasoning is that loads are estimates, materials vary, and the failure is not recoverable - so the margin is designed in at the start and is not available to be traded away later when the budget gets tight. Our estimates vary the same way and our margins are usually the first thing spent. Where do we run at full capacity with no buffer at all - people, on-call, deploy windows, budget? Name the place, and name who would have to defend that buffer the first time somebody needs it.","School of Engineering","","Structural engineering: factor of safety in building codes","capacity|risk|planning"
Film,1,"Show It, Do Not Say It","Akira Kurosawa cut explanatory dialogue out of his scripts on principle: if the audience has to be told what a character feels, the scene has already failed. In Seven Samurai the villagers' poverty is established by what is in the rice bowls, and nobody describes it. The rule behind it is that an audience trusts what it works out for itself far more than what it is told. Film is not our medium and our audience is not sitting in the dark. Where do we currently tell - a status update, a values statement, a claim in a deck, a promise to a customer - somewhere we could instead show the thing and let people draw the conclusion? Pick one, and say what showing it would cost us.","Film School","","Akira Kurosawa, visual storytelling","communication|evidence|trust"
Medicine,1,"First, Do No Harm","The Hippocratic tradition puts avoiding harm ahead of doing good: a physician unsure whether an intervention helps is expected to wait and observe rather than act, because the patient is already exposed to whatever the treatment itself does. Medicine formalises this - a treatment clears a harm bar before it clears an efficacy bar. It is a rule written for people who can kill somebody by trying to help them. Our interventions are reorganisations, migrations, new processes and new tools. Which one currently in flight would fail a harm-first test, and who would have to be the person willing to say that we are not doing this yet?","School of Medicine","","Hippocratic tradition: primum non nocere","risk|change|restraint"
Medicine,2,"Sort by Who Cannot Wait","Emergency triage sorts arrivals by urgency and by what treatment can still change, not by who arrived first and not by who is loudest. It accepts openly that some patients wait while others do not, and it puts the sorting rule in writing so the decision does not fall on whoever happens to be standing there at three in the morning. The rule was built for a fixed number of doctors and an unpredictable queue. Our queue is a backlog and nobody in it is dying. If we wrote our triage rule down, what would it actually say - and which piece of work that currently gets attention would stop getting it? Name who would notice first.","School of Medicine","","Emergency department triage protocols","prioritisation|backlog|attention"
Culinary,1,"Everything Ready Before Anything Starts","A professional kitchen will not let a cook start service until mise en place is done: every ingredient measured, cut and within reach, every pan where the hand expects to find it. The rule is absolute and the chef enforces it, because once service begins there is no time to go looking for anything, and a cook who improvises the search slows the entire line. It is a rule for eight people in a hot room for four hours. We start things half-prepared all the time and call it moving fast. What is our equivalent of service - the window where being interrupted is most expensive - and what would have to be ready before it that currently is not? Say who would have to enforce that.","Culinary School","","French kitchen practice: mise en place","preparation|focus|operations"
