Category,Question#,Title,QuestionDetail,AnswerDetails,School,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,CorrectAnswer,Difficulty
"Music Videos","1","MTV's Early Days","When MTV launched on August 1, 1981, which music video was famously played first?","The Buggles' 'Video Killed the Radio Star' became a symbolic choice as MTV's first video, perfectly capturing the transition from radio to the visual music era.","Pop Culture History","Video Killed the Radio Star - The Buggles","You Better Run - Pat Benatar","She Won't Dance With Me - Rod Stewart","We Don't Talk Anymore - Cliff Richard","","","OptionA","medium"
"Famous People","2","Material Girl's Marriage","In 1985, which bad boy actor did Madonna marry in a star-studded Malibu wedding while wearing a $1,400 black bustier?","Madonna married Sean Penn on her birthday, August 16, 1985. The relationship was tumultuous and ended in divorce in 1989.","Celebrity Culture","Mickey Rourke","Sean Penn","Richard Gere","Don Johnson","","","OptionB","medium"
"Culture","3","Neon Fashion Revolution","Which 1983 film starring Jennifer Beals sparked a massive fashion trend of torn sweatshirts and leg warmers?","Flashdance's iconic fashion influenced 80s style, with off-shoulder sweatshirts becoming a massive trend.","80s Fashion & Film","Fame","Footloose","Flashdance","Fast Forward","","","OptionC","medium"
"Pop","4","Synth Pop Pioneers","Which British band, known for their elaborate New Romantic fashion, had hits with 'Hungry Like the Wolf' and 'Rio' in 1982?","Duran Duran embodied the New Romantic movement with their fashion-forward looks and synthesizer-heavy pop sound.","Music History","Spandau Ballet","Duran Duran","Culture Club","Visage","","","OptionB","medium"
"Rock","5","Hair Metal Heights","In 1987, which power ballad by Whitesnake featured lead singer David Coverdale's girlfriend Tawny Kitaen famously dancing on cars?","Here I Go Again became iconic for its music video featuring model/actress Tawny Kitaen's gymnastic moves on two Jaguars.","Rock History","Still of the Night","Is This Love","Here I Go Again","Crying in the Rain","","","OptionC","medium"
"Music Videos","6","MTV's Early Days","On August 1, 1981, MTV launched with its very first music video. Which iconic song had the honor of being MTV's first broadcast?","'Video Killed the Radio Star' by The Buggles became a prophetic choice as MTV's first video, symbolizing the transition from radio to visual music entertainment. The song itself was released in 1979 but gained new life as MTV's inaugural video.","Pop Culture History","Video Killed the Radio Star - The Buggles","You Better Run - Pat Benatar","She Won't Dance With Me - Rod Stewart","You Better You Bet - The Who","","","OptionA","medium"
"Famous People","7","Material Girl's Marriage","In 1985, Madonna married which bad-boy actor in a highly publicized wedding, wearing a black 'Love' tank top during their beachside nuptials?","Madonna married Sean Penn on her birthday, August 16, 1985, in Malibu. The media circus included news helicopters hovering overhead, while Madonna reportedly wrote 'NO PHOTOS' in the sand.","Celebrity Culture","Mickey Rourke","Sean Penn","Don Johnson","Rob Lowe","","","OptionB","medium"
"Pop","8","Synthesizer Revolution","Which 1983 album by Michael Jackson featured the Yamaha DX7 synthesizer, helping make it one of the most popular electronic instruments of the 80s?","The Yamaha DX7 synthesizer was prominently featured on 'Thriller', particularly in songs like 'P.Y.T. (Pretty Young Thing)'. This helped popularize the synthesizer sound that became synonymous with 80s music.","Music Production","Bad","Off the Wall","Thriller","Victory","","","OptionC","medium"
"Rock","9","Hair Metal Fashion","Which 80s glam metal band was known for their elaborate makeup, particularly their lead singer's iconic 'raccoon' eye makeup design and star pattern over the right eye?","Paul Stanley of KISS was known for his star pattern, but Starchild pattern. Twisted Sister's Dee Snider popularized the 'raccoon eyes' look with pink and black makeup, helping define the glam metal aesthetic.","Music Fashion","Ratt","Twisted Sister","Quiet Riot","Mötley Crüe","","","OptionB","medium"
"Music Videos","10","New Wave Innovation","In 1981, which band pioneered the use of computer animation in their music video, featuring groundbreaking 3D graphics that cost over $125,000 to produce?","Dire Straits' 'Money for Nothing' is often cited as the first computer-animated video, but 'Computer World' by Kraftwerk actually featured early CGI first. The video was revolutionary for its time and helped establish MTV's reputation for innovation.","Music Technology","Devo","The Cars","Kraftwerk","Dire Straits","","","OptionC","medium"
"Music Videos","11","MTV's Early Days","On August 1, 1981, MTV launched with its very first music video. Which iconic song had the honor of being the first video ever played on MTV?","The Buggles' 'Video Killed the Radio Star' was chosen specifically for its prophetic message about video technology changing the music industry. The video featured retro-futuristic sets and became a symbol of the MTV revolution.","80s Pop Culture","Video Killed the Radio Star - The Buggles","You Better Run - Pat Benatar","She Won't Dance With Me - Rod Stewart","We Don't Talk Anymore - Cliff Richard","","","OptionA","medium"
"Famous People","12","Material Girl's Marriage","In 1985, Madonna married which bad-boy actor in a highly publicized wedding, wearing a white dress with the belt buckle reading 'Boy Toy'?","The volatile marriage between Madonna and Sean Penn lasted from 1985 to 1989, during the height of both their careers. The wedding took place on Madonna's birthday, August 16, in Malibu.","80s Pop Culture","Mickey Rourke","Sean Penn","Rob Lowe","Charlie Sheen","","","OptionB","medium"
"Pop","13","Synthpop Revolution","Which British new wave band, known for their elaborate makeup and fashion, topped the charts with 'Karma Chameleon' in 1983?","Culture Club, led by Boy George, became icons of the New Romantic movement. The song spent three weeks at #1 on the Billboard Hot 100 and was notable for its distinctive harmonica riff.","80s Pop Culture","Duran Duran","Spandau Ballet","Culture Club","Visage","","","OptionC","medium"
"Rock","14","Hair Metal Hysteria","Which 1987 Def Leppard album featured the hits 'Pour Some Sugar on Me' and 'Love Bites', and took over three years to record due to drummer Rick Allen's accident?","Following Rick Allen's car accident that resulted in the loss of his arm, the band waited for him to develop a special drum kit and technique before recording 'Hysteria', which went on to sell over 20 million copies.","80s Pop Culture","Pyromania","High 'n' Dry","Adrenalize","Hysteria","","","OptionD","medium"
"Famous People","15","Moonwalking to History","During which 1983 TV special did Michael Jackson first perform his iconic moonwalk while performing which song?","The moonwalk debut occurred during NBC's 'Motown 25: Yesterday, Today, Forever' special. While performing 'Billie Jean', Jackson's smooth backward glide became an instant sensation and one of pop culture's most memorable moments.","80s Pop Culture","Beat It","Thriller","Billie Jean","Wanna Be Startin' Somethin'","","","OptionC","medium"
"Music Videos","16","MTV's Moonman Origins","When MTV launched in 1981, which music video had the honor of being the very first one played on the channel?","'Video Killed the Radio Star' by The Buggles became an iconic choice as MTV's first video, perfectly capturing the channel's revolutionary impact on music consumption. The song's prophetic title symbolized the transition from radio to visual music entertainment.","80s Pop Culture","Video Killed the Radio Star - The Buggles","You Better Run - Pat Benatar","She Won't Dance With Me - Rod Stewart","We Don't Talk Anymore - Cliff Richard","","","OptionA","medium"
"Pop","17","Material Girl's Inspiration","Madonna's iconic 'Material Girl' music video (1985) was directly inspired by which classic Hollywood musical number?","The video was a direct homage to Marilyn Monroe's 'Diamonds Are a Girl's Best Friend' from the 1953 film 'Gentlemen Prefer Blondes', complete with pink dress and choreography.","80s Pop Culture","Singing in the Rain","Diamonds Are a Girl's Best Friend","All That Jazz","Cabaret","","","OptionB","medium"
"Music","18","Synthesizer Revolution","Which 1983 album by Michael Jackson was the first to use the revolutionary Yamaha DX7 synthesizer, changing the sound of 80s pop music?","The Yamaha DX7 synthesizer made its debut on 'Thriller', helping create its distinctive sound and revolutionizing music production in the 1980s.","80s Pop Culture","Bad","Off the Wall","Thriller","Victory","","","OptionC","medium"
"Famous People","19","New Wave Fashion","Which New Wave band's lead singer was known for his distinctive look featuring bright red hair, dramatic makeup, and often mismatched colorful suits?","Boy George of Culture Club was renowned for his androgynous appearance and colorful fashion choices, helping define the New Romantic movement.","80s Pop Culture","Duran Duran","Culture Club","The Human League","Spandau Ballet","","","OptionB","medium"
"Rock","20","Rock Rebellion","Which 1984 mockumentary, featuring a fictional heavy metal band, popularized the phrase 'These go to eleven' and included real amplifiers being modified to have volume knobs that went to 11?","This Is Spinal Tap became a cult classic and influenced rock culture, with many real amplifier manufacturers later creating amps with knobs that went to 11 as a tribute.","80s Pop Culture","Bad News Tour","The Decline of Western Civilization","This Is Spinal Tap","Heavy Metal Parking Lot","","","OptionC","medium"
