Category,Question#,Title,Detail_lesson,School,CustomInstruction
Knowledge Management,1,"SPREADING WHAT ONE TEAM FIGURED OUT","A team solves something well and the knowledge never leaves the team. Documentation alone almost never fixes this — the 'why' does not survive the write-up.","","Describe one mechanism you have actually seen work, and name what it cost — someone's time, a ritual, a mandate. If you have only seen it fail, say what failed and at which step."
Project Recovery,2,"SAVING A PROJECT IN TROUBLE","The instinct is to add resources or quietly kill it. Neither answers the question of whether the problem is execution or the strategy underneath it.","","Give the first three things you would check, in order, to tell an execution problem from a strategy problem. Then say what evidence would convince you to stop the project entirely."
Cross-Functional Collaboration,3,"WHEN NOBODY OWNS THE OUTCOME","Matrix structures split accountability from authority. Shared initiatives stall because performance reviews still happen inside functions.","","Describe one concrete change to incentives, reporting, or ritual — not a principle. Name who would resist it and why they would be partly right."
Change Management,4,"THE ORGANIZATION'S IMMUNE SYSTEM","Large organizations reject change even when the current way is plainly worse. Middle management usually gets blamed, though their caution is often rational.","","Name the specific fear you would have to address first, and how you would find out whether it is real. 'Communicate the vision' does not count as an answer."
Resource Allocation,5,"SAYING NO TO GOOD IDEAS","Budgets tend to repeat last year rather than reflect next year. Every yes is funded by a no that nobody has to defend out loud.","","Propose one rule for killing or shrinking funded work — something you could apply next quarter. Say who has to sign it and what they lose."
Performance Management,6,"WHAT BREAKS WHEN A TEAM GETS BIG","Psychological safety, clear ownership and shared purpose are cheap at ten people and expensive at a thousand.","","Name the one property you would fight hardest to preserve as headcount grows, and the practice you would give up to keep it. Be specific about the headcount where it breaks."
Innovation Management,7,"RUNNING THE BUSINESS AND CHANGING IT","The metrics that make operations excellent punish the ambiguity innovation needs. Separate innovation labs solve this by drifting away from reality.","","Describe how you would protect experimental work without exiling it. Name the metric you would deliberately *not* apply to it, and for how long."
Stakeholder Alignment,8,"WHEN STAKEHOLDERS WANT OPPOSITE THINGS","Shareholders, employees, customers, regulators and communities do not want the same thing, and expectations move faster than capability.","","Take a real conflict you have seen and say who you would disappoint first, and how you would tell them. Naming the loser is the whole exercise."
Talent Development,9,"PROMOTING PEOPLE INTO A DIFFERENT JOB","Strong individual contributors are routinely promoted into leadership with no preparation for work that shares almost no skills with what they were good at.","","Name the one capability you would build *before* the promotion rather than after, and how you would build it. Then name a signal that someone should not be promoted."
Digital Transformation,10,"MODERNIZATION THAT IS NOT ABOUT TECHNOLOGY","These programmes usually fail on capability and workflow, not on the platform. Legacy systems are the visible part of a legacy operating model.","","Give your sequencing: what changes first, second, third, and why that order. Say what you would deliberately leave on the old system, possibly forever."
