Category,Question#,Title,Detail_lesson,School,CustomInstruction,Tags
Ready to Show,1,"The Demo We Have Today","The thing: the demo we would give a prospective customer next Tuesday, exactly as it exists this morning - no new work, no slides rebuilt, nothing hidden. The bar: it runs end to end on the real system without the presenter saying 'ignore that' even once. Does it clear the bar, or does it not? Give the one reason your verdict turns on.","Engineering and Architecture","","demo|readiness|customer"
Ready to Show,2,"The Architecture Diagram on the Wiki","The thing: the current architecture diagram in our wiki, as it stands right now. The bar: an engineer who joined last month could use it, unaided, to work out where a request goes and which team owns each hop. Does it meet that bar today, or not? Say what your verdict turns on.","Engineering and Architecture","","documentation|architecture|onboarding"
Ready to Show,3,"Our Public Claim About Reliability","The thing: the reliability figure we quote to people outside this team. The bar: it is measured the way a customer would measure it - from outside, and counting the failures we currently classify as planned. Is the number defensible exactly as stated, or is it not? One reason.","Engineering and Architecture","","reliability|metrics|claims"
Ready to Sell,1,"The Best Thing We Built This Year","The thing: the single piece of work this team is proudest of from the last twelve months. The bar: a buyer with a budget and three alternatives would choose it on its merits, not because we happen to be here already. Would they choose it, or would they not? Say what decides that.","Engineering and Architecture","","portfolio|market|value"
Ready to Sell,2,"The Sentence That Faces Outward","The thing: the description of this team that outsiders actually read - the team page, or the slide in the deck. The bar: someone who does not work here could read it once and correctly say what we do and who we do it for. Does it pass, or does it fail? Give your reason.","Engineering and Architecture","","positioning|message|clarity"
Ready to Sell,3,"The Loudest Promise on the Roadmap","The thing: the roadmap item we have promised most confidently to people outside the team. The bar: everything it depends on either exists today or has a named owner and a date. Was that promise safe to make? Say yes or no, and why.","Engineering and Architecture","","roadmap|commitments|risk"
Ready to Support,1,"The Runbook for Our Noisiest Alert","The thing: the runbook for the alert that pages this team most often. The bar: somebody who has never seen the system could follow it at three in the morning and clear the page without calling anyone. Does it clear that bar, or does it not? State the reason.","Engineering and Architecture","","oncall|runbook|operations"
Ready to Support,2,"The Service Only One Person Understands","The thing: the service in our estate that exactly one person can safely change. The bar: that person could take four consecutive weeks of leave with no arrangement made in advance. Could they, or could they not? Say what makes your answer true.","Engineering and Architecture","","bus-factor|ownership|risk"
Ready to Support,3,"Our Escalation Path","The thing: the escalation path as it is written down today. The bar: a customer-facing colleague with a live problem at six on a Friday evening could follow it, unaided, to a human being who can act. Does it work as written, or does it not? One reason.","Engineering and Architecture","","escalation|support|process"
Ready to Scale,1,"Onboarding at Twice the Team","The thing: how a new engineer actually becomes productive here - as it happens now, not as it is documented. The bar: it would still work if we hired twice as many people this year as we did last year. Would it hold, or would it break? Say what breaks first, or say why nothing does.","Engineering and Architecture","","onboarding|scale|growth"
Ready to Scale,2,"The Deploy Process Under Pressure","The thing: our deploy process as it is used on an ordinary day. The bar: it survives ten times the number of changes per week without adding a human approval step. Does it survive, or does it not? Give the reason your verdict turns on.","Engineering and Architecture","","deployment|scale|automation"
Ready to Scale,3,"The Data Model We Chose","The thing: the core data model this system is built on. The bar: it holds at ten times current volume without a migration that requires downtime. Does it hold, or does it not? Say why.","Engineering and Architecture","","data|scale|architecture"
