Category,Question#,Title,Detail_lesson,School,CustomInstruction
Product Strategy,1,Product Vision Alignment,How does your product team ensure that the technical vision aligns with business objectives?,,"Name the artefact that actually holds the alignment — a document, an OKR, a roadmap — and the last time it was wrong. Say who noticed."
Developer Experience,2,Developer Experience Impact,"When making product decisions, how do you measure and prioritize the impact on developer experience?",,"Describe a trade you made between shipping speed and developer experience, and who paid for it."
Technical Strategy,3,Technical Debt Prioritization,How does your product team work with engineering to prioritize technical debt alongside new features?,,"Give the shared language you use with engineering to weigh debt against features. If you do not have one, describe what the arguments sound like instead."
API Strategy,4,API Design Philosophy,What role does the product team play in API design decisions?,,"Name one API decision product owned and one engineering owned. Say how that split was agreed, and whether it holds under deadline pressure."
Platform Strategy,5,Developer Tool Investment,How do you build the business case for investing in internal developer tools and platforms?,,"Build the case in three numbers. Then name the number you cannot get, and how you argue without it."
Documentation,6,Documentation Standards,What standards does your product team set for technical documentation?,,"Name who writes documentation, who reviews it, and what triggers an update. If nothing triggers an update, say that plainly."
Release Strategy,7,Feature Flag Strategy,How does your product team leverage feature flags for progressive rollouts?,,Say who can turn a flag on in production and how flags get removed afterwards. The cleanup is the interesting part.
Onboarding,8,Developer Onboarding,What role does product play in optimizing the developer onboarding experience?,,"Give your time from joining to first meaningful change, and how you measure it. Then name the step that eats the most of it."
Resource Allocation,9,Platform vs Feature Balance,How do you balance platform improvements against feature development?,,"Give this quarter's actual split between platform and feature work, not the intended one. Then say what would make you change it."
Feedback Systems,10,Developer Feedback Loops,What mechanisms does your product team use to gather and act on developer feedback?,,"Trace one piece of developer feedback all the way to a roadmap change, and say how long it took."
Security Integration,11,Security in Product Design,How early does your product team engage with security considerations?,,Name the point in your process where security first appears. Then say what would have to happen for it to appear earlier.
Performance,12,Performance Requirements,How does your product team define and communicate performance requirements?,,"State one performance target the way a user would experience it, and name who agreed to it. Targets without an owner do not count."
Metrics & KPIs,13,Developer Advocacy Metrics,What metrics does your product team track to measure the success of developer advocacy initiatives?,,"Name one advocacy metric that changed a product decision. If none has, say what you are actually measuring for."
Planning Process,14,Technical Feasibility Assessment,How does your product team assess technical feasibility before committing to features?,,"Describe the cheapest signal you get before committing to a feature, and the last time you committed without it."
API Evolution,15,API Versioning Strategy,How does your product team approach API versioning and deprecation?,,"Give the rule that decides when something can be deprecated, and the longest you have carried something you wanted to kill."
Community,16,Developer Community Building,What role does product play in building and nurturing the developer community?,,"Name who owns the community relationship on an ordinary Tuesday afternoon, and what happens when that person is on leave."
Investment Strategy,17,Internal Tool Prioritization,How do you prioritize internal developer tools against external features?,,"Name one internal investment you funded ahead of a customer-facing feature, and how you defended it."
Success Measurement,18,Developer Success Metrics,How does your product team define and measure developer success?,,Name one metric you track and the business outcome you claim it predicts. Then say how confident you honestly are in that link.
Partnership,19,Technical Partnership Model,How does your product team partner with platform and infrastructure teams?,,Name one thing platform and infrastructure teams need from you that you routinely fail to give them on time.
Innovation,20,Innovation Time Allocation,How does your product team support engineering innovation time?,,"Describe how exploration actually gets scheduled — sprint capacity, a dedicated week, nothing formal — and what happens to it when delivery pressure rises."
