Category,Question#,Title,Detail_lesson,School
"Are Right, A Lot",1,"Data-Driven Decision Making","Describe how your team ensures decisions are consistently informed by reliable data. Focus on establishing data collection processes, validation methods, and decision frameworks that prioritize reliable information over assumptions. Consider how you verify data quality and create feedback loops to improve decision accuracy.","School of Decision Making"
"Are Right, A Lot",2,"Balancing Confidence and Humility","Share how you balance confidence in your decisions with openness to new information. Effective leaders demonstrate conviction while remaining receptive to new data and perspectives that might change their approach. Discuss techniques for maintaining intellectual humility while still providing clear direction.","School of Decision Making"
"Are Right, A Lot",3,"Improving Decision Accuracy","Provide a strategy you use to continuously improve decision-making accuracy within your team. Consider systematic approaches like post-decision reviews, feedback loops, and learning from both successful and unsuccessful outcomes. Share specific methods for tracking and improving decision quality over time.","School of Decision Making"
"Are Right, A Lot",4,"Learning from Mistakes","Discuss a mistake in decision-making your team made and how you adjusted your approach afterward. Focus on how the team analyzed the mistake, identified root causes, and implemented systematic changes to prevent similar issues. Emphasize the learning process and cultural aspects of mistake recovery.","School of Decision Making"
"Are Right, A Lot",5,"Leveraging Diverse Opinions","Explain how your team leverages diverse perspectives to improve decision outcomes. Consider how different viewpoints, experiences, and expertise contribute to more comprehensive and accurate decision-making. Share specific techniques for gathering and incorporating diverse input effectively.","School of Decision Making"
"Are Right, A Lot",6,"Challenging Biases","Describe a situation where you challenged biases or assumptions leading to better decisions. Focus on identifying cognitive biases, questioning assumptions, and using structured approaches to overcome subjective thinking. Share specific methods for bias detection and mitigation.","School of Decision Making"
"Are Right, A Lot",7,"Building Decision Confidence","How do you build confidence among stakeholders in your decision-making processes? Consider transparency, communication of reasoning, track record demonstration, and inclusive decision-making approaches. Focus on how to earn trust through consistent, well-reasoned decisions.","School of Decision Making"
"Are Right, A Lot",8,"Cross-Functional Decision Making","Share how your team effectively navigates decision-making involving multiple functions or teams. Focus on coordination, communication, shared objectives, and managing competing priorities across different groups. Consider frameworks for multi-stakeholder decision processes.","School of Decision Making"
"Are Right, A Lot",9,"Validating Hypotheses","Explain how you validate hypotheses before committing to major decisions or changes. Consider testing approaches, pilot programs, data collection methods, and systematic validation before full implementation. Share specific techniques for hypothesis testing in your context.","School of Decision Making"
"Are Right, A Lot",10,"Transparency in Decisions","Discuss how you maintain transparency in your team's decision-making processes to build trust. Focus on clear communication, rationale sharing, and creating understanding of the decision-making process among team members. Consider how transparency supports better outcomes.","School of Decision Making"
"Bias for Action",1,"Rapid Decision Making","Share how your team emphasizes rapid decision-making in daily operations. Consider frameworks, delegation, decision criteria, and cultural practices that enable quick but effective decisions. Focus on systems that support speed without sacrificing quality.","School of Action Orientation"
"Bias for Action",2,"Overcoming Analysis Paralysis","Provide an example of overcoming analysis paralysis to take timely action. Focus on recognizing when sufficient information exists, setting decision deadlines, and accepting calculated risks. Share techniques for breaking through overthinking cycles.","School of Action Orientation"
"Bias for Action",3,"Prompt Issue Resolution","Explain how quickly addressing issues has positively impacted your team's success. Consider how rapid response prevented escalation, maintained momentum, or preserved customer relationships. Share specific examples of the benefits of quick action.","School of Action Orientation"
"Bias for Action",4,"Quick Action Culture","Discuss practices your team uses to cultivate a culture of quick action and responsiveness. Focus on empowerment, clear authority, streamlined processes, and removing barriers to action. Consider how to build organizational systems that support rapid response.","School of Action Orientation"
"Bias for Action",5,"Balancing Speed and Accuracy","Describe how your team balances the need for speed with ensuring decision accuracy. Consider risk assessment, iterative approaches, and understanding when speed vs. accuracy should take priority. Share frameworks for making this trade-off effectively.","School of Action Orientation"
"Bias for Action",6,"Taking Calculated Risks","Give an example of taking calculated risks that resulted in significant team benefits. Focus on risk assessment, mitigation strategies, and how the team evaluated potential outcomes before acting. Emphasize the analytical aspect of risk-taking.","School of Action Orientation"
"Bias for Action",7,"Reducing Delays","How has your team actively reduced delays to accelerate project timelines? Consider process improvements, bottleneck removal, and systematic approaches to identifying and eliminating delays. Share specific techniques for timeline acceleration.","School of Action Orientation"
"Bias for Action",8,"Proactive Initiative","Share a scenario where proactive initiative prevented potential problems. Focus on anticipation, early action, and how taking initiative before problems manifest saved time or resources. Emphasize the value of forward-thinking action.","School of Action Orientation"
"Bias for Action",9,"Immediate Crisis Response","Describe your team's strategy for immediate response during a crisis situation. Consider preparation, clear roles, rapid communication, and systematic approaches to crisis management. Focus on frameworks for effective crisis response.","School of Action Orientation"
"Bias for Action",10,"Accelerating Delivery","Explain how a focus on bias for action helped your team accelerate delivery on critical projects. Focus on how quick decision-making and rapid execution contributed to meeting or exceeding delivery timelines. Share specific examples of action-driven success.","School of Action Orientation"
"Customer Obsession",1,"Relentless Customer Advocacy","How would you incorporate constant customer advocacy in your team meetings and decision-making processes? Consider systematic approaches to ensure customer perspective is represented in all decisions, discussions, and planning activities. Think about Jeff Bezos' empty chair concept and how to make it practical.","School of Customer Centricity"
"Customer Obsession",2,"Inventing for Unspoken Needs","Identify an unspoken customer need in your domain and describe how you would develop an innovative solution. Focus on understanding customer pain points, observing behavior patterns, and developing solutions for needs customers haven't explicitly expressed. Consider Amazon's approach with Prime as a model.","School of Customer Centricity"
"Customer Obsession",3,"Long-Term Customer Trust","Describe a situation where you would choose long-term customer trust over immediate financial gains. Consider how prioritizing customer satisfaction over short-term revenue can build sustainable business relationships and competitive advantage. Focus on specific trade-offs and their reasoning.","School of Customer Centricity"
"Customer Obsession",4,"Prioritizing Customer Satisfaction Over Competition","How would you remain focused on customer satisfaction when competitive pressures suggest alternative approaches? Focus on maintaining customer-centric decision making even when competitors' actions might suggest different priorities. Consider frameworks for staying customer-focused under pressure.","School of Customer Centricity"
"Customer Obsession",5,"Using Customer Feedback Proactively","How can you systematically use customer feedback to innovate or improve your team's offerings? Consider systematic collection, analysis, and implementation of customer feedback to drive continuous improvement and innovation. Share specific processes for turning feedback into action.","School of Customer Centricity"
"Customer Obsession",6,"Transparent Customer Communication","How would you communicate transparently with customers about a significant service disruption or challenge? Focus on honest communication, taking responsibility, providing updates, and demonstrating commitment to resolution and prevention. Consider Amazon's approach to transparency during difficulties.","School of Customer Centricity"
"Customer Obsession",7,"Personalized Customer Experience","How could your team use existing data to enhance personalization for your customers? Consider how data analysis and customer insights can be used to create more relevant and valuable customer experiences. Focus on practical applications of personalization.","School of Customer Centricity"
"Customer Obsession",8,"Customer-Centric Innovation","Describe a recent innovation you delivered that was driven primarily by customer needs. Focus on how understanding customer needs and pain points drove the development of new solutions or improvements. Use examples like Kindle and Alexa as inspiration.","School of Customer Centricity"
"Customer Obsession",9,"Rapid Response to Customer Issues","How would your team rapidly respond to a critical customer-facing issue, even if it requires internal disruption? Consider prioritization, resource allocation, communication strategies, and systematic approaches to rapid issue resolution. Focus on putting customers first even when it's difficult internally.","School of Customer Centricity"
