Category,Question#,Title,QuestionDetail,AnswerDetails,School,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,CorrectAnswer,Difficulty
"System Design","1","Health Check Design Pattern","In Route 53's health check system, why do health checkers send dummy results even when there are fewer active health checks than maximum capacity?","Health checkers send dummy results to maintain a constant work pattern. This ensures network load and aggregator work remains constant regardless of customer configurations, eliminating a significant source of variance.","AWS","To maintain constant network load and aggregator work","To test system capacity regularly","To provide backup data if real checks fail","To improve system performance","","","OptionA","medium"
"Reliability","2","Anti-Fragility in Systems","Which characteristic makes caches potentially problematic despite appearing anti-fragile at first?","While caches can improve response times under load, they have modes (empty vs. filled) that can cause response times to worsen significantly when empty, potentially leading to cascading failures.","AWS","They have different operational modes","They consume too much memory","They are too slow to update","They require complex configuration","","","OptionA","medium"
"Architecture","3","Configuration Management","Why does AWS Hyperplane use S3-based configuration files instead of a workflow system for handling Network Load Balancer changes?","Using S3-based configuration files allows for constant work patterns where nodes fetch and process configurations regularly, avoiding slowdowns during high-change periods that would occur with workflow systems.","AWS","To maintain consistent processing speed regardless of change volume","To reduce storage costs","To improve configuration accuracy","To minimize network traffic","","","OptionA","medium"
"Fault Tolerance","4","Self-Healing Systems","What makes constant work designs naturally self-healing compared to workflow systems?","Constant work systems operate in 'repair everything' mode on each iteration, automatically correcting issues without building backlogs or requiring complex repair sequences.","AWS","They start from a clean slate in each iteration","They maintain backup copies of all data","They use multiple redundant systems","They implement complex error checking","","","OptionA","medium"
"Implementation","5","DNS Server Health Checks","How do Route 53 DNS servers handle health check status changes?","DNS servers receive fixed-size tables of health check statuses periodically and store them in memory. They perform the same operations regardless of status changes, maintaining constant work patterns.","AWS","By maintaining consistent operations regardless of status changes","By updating records only when changes occur","By creating new database entries","By triggering status update workflows","","","OptionA","medium"
"System Design Patterns","6","Constant Work Pattern","According to the article, which of the following is NOT a key feature of constant work patterns?","The article mentions three key features of constant work patterns: they don't scale up/slow down with load, they don't have modes, and if they have variation it's to do less work in stress. Caching is mentioned as an example that appears anti-fragile but can actually amplify fragility.","AWS","They improve performance through caching mechanisms","They don't scale up or slow down with load","They don't have different modes of operation","They may do less work during times of stress","","","OptionA","medium"
"AWS Services","7","Route 53 Health Checks","How does Route 53's health check system handle dummy entries when only a few health checks are configured?","Route 53 sends a fixed-size set of results even when fewer health checks are configured. If only 10 checks are active out of 10,000 possible slots, the remaining 9,990 are filled with dummy entries to maintain constant work.","AWS","It removes all dummy entries to save bandwidth","It fills remaining slots with dummy entries to maintain fixed size","It dynamically adjusts the size based on active checks","It compresses the data to minimize transfer size","","","OptionB","medium"
"System Reliability","8","Anti-Fragility Concept","What characteristic of caching systems makes them potentially NOT anti-fragile according to the article?","While caches appear anti-fragile at first, they have modes (empty vs. filled) and can cause cascading failures when overloaded, making the system more fragile rather than less.","AWS","They are too complex to maintain","They have different operational modes","They consume too much memory","They are too slow to update","","","OptionB","medium"
"System Implementation","9","Configuration Management","In AWS Hyperplane's configuration system, why is the configuration file sized to maximum from the beginning?","The configuration file is sized to maximum from the start with dummy slots to ensure constant work patterns, regardless of actual configuration load, preventing variable processing times during updates.","AWS","To optimize storage efficiency","To improve read performance","To maintain constant work patterns","To reduce network latency","","","OptionC","medium"
"System Architecture","10","Self-Healing Systems","What makes constant work systems naturally self-healing according to the article?","Constant work systems are self-healing because they operate in a continuous 'repair everything' mode, starting from a clean slate each time without building up backlogs.","AWS","They use multiple backup systems","They implement complex error handling","They maintain state between iterations","They always start from a clean slate","","","OptionD","medium"
