Category,Question#,Title,QuestionDetail,AnswerDetails,School,CustomInstruction,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Difficulty
"Networking",1,"The Default Secure Port","By default, HTTPS traffic uses which TCP port?","HTTPS defaults to port 443, while plain HTTP defaults to 80. Port 21 is FTP control and 8080 is a common alternate HTTP port for development servers.","","All four are real ports you have probably seen. Pick the one a browser assumes when the URL has no port.","443","80","21","8080","OptionA","easy"
"Networking",2,"What an A Record Returns","In DNS, an A record maps a hostname to what?","An A record returns an IPv4 address. AAAA records return IPv6 addresses, MX records point to mail servers, and CNAME records alias one hostname to another.","","Each wrong option is the job of a different record type. Match the letter to the right one.","A mail server","Another hostname","An IPv4 address","An IPv6 address","OptionC","easy"
"Networking",3,"Whose Fault Is It","In HTTP, which status code class indicates that the server failed to handle an otherwise valid request?","5xx codes indicate server-side errors, such as 500 Internal Server Error and 503 Service Unavailable. 4xx codes indicate a problem with the request itself.","","The distinction that matters is who is at fault - the caller or the server. Choose the class that blames the server.","2xx","3xx","4xx","5xx","OptionD","easy"
"Data and Storage",4,"The I in ACID","In the ACID properties of a database transaction, what does the I stand for?","Isolation means concurrent transactions do not observe each other's intermediate state. The full set is Atomicity, Consistency, Isolation and Durability.","","Say the four words in order in your head. Two of the wrong options are real database concepts that are not part of the acronym.","Integrity","Isolation","Indexing","Idempotency","OptionB","medium"
"Data and Storage",5,"Kibibyte, Precisely","How many bytes are in one kibibyte (KiB)?","A kibibyte is exactly 1,024 bytes. The KiB unit exists specifically to distinguish 1,024 from the decimal kilobyte of 1,000 bytes.","","The unit is deliberately not the decimal one. Reach for the power of two.","1000","1048576","2048","1024","OptionD","easy"
"Data and Storage",6,"What an Index Costs","Adding a database index to a table primarily speeds up matching reads at the cost of what?","Every insert, update and delete must also maintain the index, and the index consumes additional storage. Indexes never change query results, only how fast they are found.","","An index is a trade, not free speed. Identify what has to get slower or bigger in exchange.","Slower writes and more storage","Less accurate query results","Weaker durability guarantees","Loss of transaction isolation","OptionA","medium"
"Programming",7,"Halving the Haystack","What is the time complexity of binary search on a sorted array?","Each comparison halves the remaining search space, giving logarithmic time. It requires the array to be sorted first.","","Think about how many times you can halve a list before one element remains, and express that as a complexity class.","O(log n)","O(1)","O(n)","O(n log n)","OptionA","medium"
"Programming",8,"Born at Bell Labs","Which language was created by Dennis Ritchie at Bell Labs in the early 1970s?","Ritchie developed C at Bell Labs alongside the rewriting of Unix, which made the operating system portable across hardware.","","All four are from roughly the same era. Anchor on the language that Unix was rewritten in.","Fortran","BASIC","Pascal","C","OptionD","easy"
"Programming",9,"How Git Names a Commit","In Git, each commit is identified by what?","Git identifies each commit by a cryptographic hash of its content, metadata and parent - which is why commit identifiers change when history is rewritten.","","Recall what you actually paste when you cherry-pick or revert a specific commit.","A sequential integer","A hash of its contents","A creation timestamp","The branch name","OptionB","easy"
"Systems and Reliability",10,"Safe to Retry","An operation is described as idempotent when which of the following is true?","An idempotent operation can be applied repeatedly without changing the result beyond the first application, which is what makes automatic retries safe.","","This is the property that makes a retry harmless. Choose the definition that says something about repeating the call.","It has no side effects at all","It completes in constant time","Repeating it has the same effect as doing it once","It always returns the same value","OptionC","medium"
"Systems and Reliability",11,"Three Nines","An availability target of 99.9 percent allows roughly how much total downtime per year?","99.9 percent of a 365-day year leaves about 8.8 hours of allowed downtime - a little over one working day, spread across the whole year.","","Take 0.1 percent of the hours in a year and round. Do the arithmetic rather than recalling the marketing phrase.","About 5 minutes","About 1 hour","About 9 hours","About 4 days","OptionC","medium"
"Systems and Reliability",12,"When the Network Splits","Under the CAP theorem, a distributed system experiencing a network partition must choose between which two properties?","Partition tolerance is not optional in a real network, so the live trade-off during a partition is between consistency and availability.","","One of the three CAP properties is forced on you by physics. The answer is the pair you actually get to choose between.","Cost and performance","Consistency and availability","Caching and persistence","Concurrency and atomicity","OptionB","medium"
