Category,Question#,Title,Detail_lesson,School,CustomInstruction
"Pop","1","MTV Office Party","Your team is organizing an 80s-themed office party. You need to create a music video playlist featuring iconic moments where artists broke traditional video formats. Which groundbreaking video would you include that literally turned the world upside down?","Lionel Richie's 'Dancing on the Ceiling'","Discuss how special effects in music videos evolved in the 80s"
"Pop","2","Creative Meeting","Brainstorming session for new social media strategy. Which video was the first to use crowd-sourced content from fans?","David Bowie's 'Ashes to Ashes'","Explore early examples of audience engagement"
"Pop","3","The Dueling DJs","Two office employees argue over who should control the office playlist - one only wants to play Madonna, while the other insists on Michael Jackson. The debate leads to an impromptu 80s dance-off during lunch break.","Professional Development","Have participants recreate iconic 80s dance moves"
"Pop","4","Take On HR","HR department releases new policies through a series of music video parodies featuring a-ha's 'Take On Me'.","Professional Development","Create workplace policy music videos"
"Pop","5","Like a Prayer Printer","Office printer only works when 80s power ballads are playing nearby.","Professional Development","Create power ballad karaoke contest with office themes"
"Pop","6","Material Girl Meeting","Your team needs to create a presentation about Madonna's influence. Which of her 80s personas caused the most controversy and copycat fashion trends?","Professional Development","Like a Virgin era Madonna with the wedding dress, crucifixes, and 'Boy Toy' belt"
"Pop","7","MTV VJ Challenge","You're the new MTV VJ and need to interview Madonna about her controversial 'Like a Prayer' video. What cultural references would you need to understand to have an intelligent conversation about its impact?","Professional Development",""
"Pop","8","Technical Difficulty","You're producing the first MTV broadcast in 1981. Which video had to be played repeatedly due to limited video library?","Professional Development",""
"Rock","1","Brand Presentation","You're creating a presentation about brand transformations. Which band's radical image change from suits to glam rock makeup became MTV's defining marketing success?","Kiss removing their makeup in 1983","Explore how image changes impacted band success"
"Rock","2","Budget Planning","Discussing production budgets. Which band's video was famous for being shot for just $99?","Twisted Sister's 'We're Not Gonna Take It'","Discuss cost vs. creativity in production"
"Rock","3","Hair Band Thursday","The accounting department shows up wearing wigs inspired by 80s hair metal bands, claiming it helps with number crunching.","Professional Development","Create air guitar competition using 80s rock classics"
"Rock","4","Hair Band Happy Hour","Your office is hosting an 80s hair band costume contest. Which band spent the most money on hairspray during their music video shoots: Bon Jovi, Mötley Crüe, or Poison?","Professional Development","Mötley Crüe reportedly spent over $10,000 annually on hairspray during their peak"
"Rock","5","New Wave Networking","During an office karaoke night, someone claims they know which new wave band had the most MTV airplay in 1983. Was it Duran Duran, The Cars, or The Police?","Professional Development","Duran Duran dominated MTV in 1983"
"Rock","6","Rock Revolution","You're working at a record store in 1987. A customer asks why Bon Jovi's 'Livin' on a Prayer' resonated so much with working-class America. What would you say?","Professional Development",""
"Music Video","1","Training Video Production","Your company needs to produce an engaging training video. Which iconic 80s music video revolutionized storytelling by combining animation with live action?","A-ha's 'Take On Me'","Analyze innovative video production techniques"
"Music Video","2","Technology Integration","Planning new tech implementation. Which 1981 video revolutionized MTV by being the first to use computer graphics?","Money For Nothing by Dire Straits","Examine technological innovations in media"
"Music Video","3","Video Killed the Staff Meeting","A department head decides to present quarterly reports using the style of classic MTV VJs, complete with dramatic pauses and exaggerated gestures.","Professional Development","Participants must deliver business updates in MTV VJ style"
"Music Video","4","Thriller Time Management","Project deadline approaches as team coordinates zombie-dance inspired presentation.","Professional Development","Choreograph team-building exercises to Thriller"
"Music Video","5","MTV Launch Party","You're hosting an office party celebrating MTV's iconic launch. Which iconic music video should you play first to recreate history: 'Video Killed the Radio Star' by The Buggles, 'You Better Run' by Pat Benatar, or 'She Won't Dance' by Rod Stewart?","Professional Development","Correct Answer: 'Video Killed the Radio Star' - The first music video ever played on MTV"
"Music Video","6","Thriller Time Management","Your team needs to know: How long did it take to choreograph Michael Jackson's 'Thriller' dance sequence?","Professional Development","2 weeks of intensive rehearsals with choreographer Michael Peters"
"Music Video","7","Video Budget Battle","Which 80s music video had the highest production budget at the time: Michael Jackson's 'Thriller,' a-ha's 'Take On Me,' or Peter Gabriel's 'Sledgehammer'?","Professional Development","'Thriller' at $900,000 in 1983"
"Music Video","8","Video Production Crisis","You're directing Michael Jackson's 'Thriller' video on a limited budget. Name three revolutionary techniques used in the original that changed music video production forever.","Professional Development",""
"Music Video","9","Video Innovation","You're a special effects artist in 1985. What groundbreaking technique made A-ha's 'Take On Me' video revolutionary?","Professional Development",""
"Movie","1","Project Launch","Planning a product launch event inspired by 80s movies featured on MTV. Which film's music video crossover with Michael Jackson created the longest music video of its time?","Thriller","Discuss the intersection of film and music video"
"Movie","2","The Breakfast Club Conference","Five employees from different departments get stuck in an elevator and bond over their shared love of John Hughes movies.","Professional Development","Recreate famous movie scenes with workplace themes"
"Movie","3","Breakfast Club Break Room","Your team is recreating famous 80s movie scenes. What snacks appeared in The Breakfast Club's memorable lunch scene?","Professional Development","Cap'n Crunch and Pixie Stix sandwich, sushi, PB&J, milk, soup and juice"
"Movie","4","Movie Magic","You're casting for 'The Breakfast Club.' Which MTV stars of the era were considered for roles but didn't make the cut?","Professional Development",""
"Culture","1","Marketing Campaign","Developing a viral marketing campaign. Which 1985 music video phenomenon united 45 artists and changed cause marketing forever?","We Are The World","Examine impact of collaborative projects"
"Culture","2","Team Building Exercise","Organizing a team-building dance workshop. Which MTV-era dance move became a workplace phenomenon after a certain moon-walking debut?","Michael Jackson's Moonwalk on Motown 25","Discuss cultural impact of MTV on workplace"
"Culture","3","Culture Club Clash","A generational divide emerges when younger employees don't understand their managers' constant references to Max Headroom.","Professional Development","Create a 'then vs. now' technology comparison game"
"Culture","4","New Wave Networking","Company mixer themed around 80s new wave fashion leads to unexpected collaborations.","Professional Development","Host 80s fashion contest with business attire twist"
"Culture","5","Valley Girl Vocabulary","Your office is having an 80s slang day. Which Valley Girl phrase was never actually used in the 80s: 'Gag me with a spoon,' 'Barf me out,' or 'Whatever makes your boat float'?","Professional Development","'Whatever makes your boat float' is a modern invention"
"Culture","6","Moonman Marketing","Your team is designing an 80s-themed award. What was the original inspiration for MTV's Moonman trophy design?","Professional Development","The Moonman was inspired by the Apollo 11 footage of astronauts planting the flag on the moon"
"Culture","7","Culture Clash","It's 1985 and you're organizing the first Live Aid concert. Which unlikely artist pairings created memorable moments?","Professional Development",""
"Culture","8","Fashion Emergency","You're styling Cyndi Lauper for her 'Girls Just Want to Have Fun' video. Which 80s fashion trends did this video help popularize?","Professional Development",""
"Culture","9","Cultural Impact","You're writing for Rolling Stone in 1983. How did Michael Jackson's 'Beat It' video help break down racial barriers on MTV?","Professional Development",""
"Music and Culture Stars","1","Innovation Workshop","Leading an innovation workshop about trend-setters. Which artist's constantly evolving MTV persona set fashion trends with each new video?","Madonna","Analyze personal branding through MTV"
"Music and Culture Stars","2","Culture Club Conflict","Two coworkers are debating Boy George's most iconic TV appearance. Was it American Bandstand, Soul Train, or The A-Team?","Professional Development","Boy George appeared on The A-Team as himself in 1986"
"Music and Culture stars","1","Material Girl Marketing","Marketing team pitches new campaign entirely through 80s song lyrics and references.","Professional Development","Translate modern business terms into 80s song titles"
"Music and Culture stars","2","Star Power","You're planning the 1984 VMAs. Which performance caused unexpected controversy and changed live TV practices?","Professional Development",""
