Category,Question#,Title,Detail,QuestionType,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,SliderMin,SliderMax,SliderLabel
"Understanding PBOD",1,"Are you familiar with the concept of a Personal Board of Directors?","A PBOD consists of 5-7 trusted relationships that guide your professional growth - like a CEO has a board, so should you","choice","Yes, I have one","Yes, but don't have one","Somewhat familiar","No, new concept","","","","",""
"Current State",2,"How would you rate your current professional support network?","Think about the quality and diversity of guidance you receive","slider","","","","","","",1,10,"Network Strength"
"The Peer",3,"Who in your network serves as your PEER - someone at your level who provides accountability and a safe space to share challenges?","A peer understands your day-to-day reality and provides mutual support","freeform","","","","","","","","",""
"Peer Gap",4,"What kind of peer support do you most need right now?","","choice","Accountability partner","Safe venting space","Shared problem-solving","Industry insights","Career navigation","Work-life balance","","",""
"The Mentor",5,"Who serves as your MENTOR - someone with wisdom and lived experience who helps you see patterns?","A mentor has walked your path before and provides perspective","freeform","","","","","","","","",""
"Mentor Needs",6,"What area of mentorship would benefit you most?","","choice","Technical expertise","Leadership development","Career strategy","Industry navigation","Work-life integration","Personal growth","","",""
"The Champion",7,"Who is your CHAMPION/SPONSOR - someone who opens doors and advocates for you in rooms you're not in?","A champion actively promotes your interests and creates opportunities","freeform","","","","","","","","",""
"Champion Impact",8,"How comfortable are you with having someone advocate for you?","Many people struggle with this - it's not self-promotion, it's strategic support","slider","","","","","","",1,10,"Comfort Level"
"The Specialist",9,"What type of SPECIALIST ADVISOR would most accelerate your growth?","Specialists provide niche expertise in specific areas","choice","Technical architect","Leadership coach","Industry expert","Financial advisor","Communication coach","Innovation strategist","","",""
"Specialist Area",10,"What specific expertise gap is holding you back?","Be as specific as possible about the knowledge or skills you need","freeform","","","","","","","","",""
"The Challenger",11,"Who in your life plays devil's advocate and sharpens your thinking?","A challenger questions your assumptions and pushes you to think deeper","freeform","","","","","","","","",""
"Challenge Comfort",12,"How well do you handle constructive challenge to your ideas?","Growth requires being open to different perspectives","slider","","","","","","",1,10,"Openness Level"
"The Mentee",13,"Are you currently mentoring someone?","Being a mentee on someone else's board helps you reflect and crystallize your own learning","choice","Yes, formally","Yes, informally","No, but interested","No, not interested","Multiple people","","","",""
"Board Gaps",14,"Which PBOD role is most missing from your current network?","","choice","Peer (accountability)","Mentor (wisdom)","Champion (advocacy)","Specialist (expertise)","Challenger (perspective)","Mentee (purpose)","","",""
"Next Steps",15,"What's one concrete action you'll take this week to strengthen your Personal Board of Directors?","Examples: Reach out to a potential mentor, schedule coffee with a peer, identify a specialist you need","freeform","","","","","","","","",""
