Category,Question#,Title,Detail_lesson,School,CustomInstruction,Image
Renaissance,1,THE ENIGMATIC SMILE,,"Leonardo da Vinci, c. 1503","Four words or fewer. The whole painting turns on one ambiguous expression — name what she is doing, not who she is.",/assets/art/the-enigmatic-smile.jpg
Post-Impressionism,2,A SWIRLING NIGHT SKY,,"Vincent van Gogh, 1889","Title the sky, not the village. Aim for something a museum label could carry: two to five words, no adjective you would not print.",/assets/art/a-swirling-night-sky.jpg
Ukiyo-e,3,THE TOWERING SEA,,"Katsushika Hokusai, c. 1831","There are three boats in this picture, and a mountain. Write a title that admits at least one of them exists.",/assets/art/the-towering-sea.jpg
Dutch Golden Age,4,A GLANCE OVER THE SHOULDER,,"Johannes Vermeer, c. 1665",Good titles often name the one detail that will not let you go. Pick that single detail and build a title of five words or fewer around it.,/assets/art/a-glance-over-the-shoulder.jpg
Renaissance,5,ARRIVAL ON THE SHORE,,"Sandro Botticelli, c. 1485","Name the event, not the figure. Aim for something that would work as a chapter heading.",/assets/art/arrival-on-the-shore.jpg
Expressionism,6,A CRY ON THE BRIDGE,,"Edvard Munch, 1893","One word if you can manage it, three at most. Say it out loud before you submit — this is a painting about sound.",/assets/art/a-cry-on-the-bridge.jpg
Symbolism,7,AN EMBRACE IN GOLD,,"Gustav Klimt, 1908",Title it without using the words gold or love. That constraint forces you to look at what the two figures are actually doing.,/assets/art/an-embrace-in-gold.jpg
Romanticism,8,ABOVE THE CLOUDS,,"Caspar David Friedrich, c. 1818",The man has his back to us on purpose. Write a title that keeps him anonymous and puts the landscape first.,/assets/art/above-the-clouds.jpg
Dutch Golden Age,9,THE COMPANY STEPS OUT,,"Rembrandt van Rijn, 1642",This is a group portrait pretending to be an action scene. Title the action in five words or fewer.,/assets/art/the-company-steps-out.jpg
Pointillism,10,AN AFTERNOON IN THE PARK,,"Georges Seurat, 1884",Caption it like a photograph: name the day and the place. Specific beats poetic here.,/assets/art/an-afternoon-in-the-park.jpg
