Category,Question#,Title,QuestionDetail,AnswerDetails,School,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,CorrectAnswer,Difficulty
"US History","1","A Fateful Tea Party","On December 16, 1773, colonists dumped 342 chests of tea into Boston Harbor. What was the exact value of the destroyed tea in modern currency (2023 dollars)?","The tea was worth about £9,659 in 1773 (roughly $1.7 million today). This defiant act, carried out by the Sons of Liberty disguised as Mohawk Indians, represented the largest destruction of private property in colonial American history.","Colonial America","$1.7 million","$500,000","$3.2 million","$850,000","","","OptionA","medium"
"World History","2","Napoleon's Sweet Defeat","During Napoleon's disastrous 1812 Russian campaign, more French soldiers died from what unexpected cause than from Russian bullets?","The buttons on French military coats were made of tin, which crumbled at extremely low temperatures. Without proper fasteners, many soldiers froze to death as their coats fell open in the brutal Russian winter.","Napoleonic Wars","Starvation","Disintegrating tin buttons","Typhus","Desertion","","","OptionB","medium"
"Ancient History","3","Ancient Roman Fast Food","In ancient Pompeii, what were the 'thermopolia,' which archaeologists have found on almost every street corner?","Thermopolia were the fast-food restaurants of ancient Rome, serving hot food from large clay pots embedded in stone counters. Over 80 have been found in Pompeii alone, indicating Romans rarely cooked at home.","Ancient Rome","Public baths","Wine shops","Fast food restaurants","Religious temples","","","OptionC","medium"
"US History","4","The Presidential Sweet Tooth","Which US President consumed so much coffee that he named his breakfast cup 'The Abundance,' reportedly drinking up to 40 cups per day?","Theodore Roosevelt's enormous coffee consumption led to Maxwell House's famous slogan 'Good to the last drop' after he praised their coffee during a visit to Nashville in 1907.","American Presidents","Andrew Jackson","Theodore Roosevelt","Ulysses S. Grant","Thomas Jefferson","","","OptionB","medium"
"Ancient History","5","The Ancient Olympic Twist","In the ancient Olympic Games, athletes competed in most events while doing what that would seem bizarre today?","Ancient Greek athletes competed nude, believing it encouraged aesthetic appreciation and celebrated the human form. The word 'gymnasium' comes from the Greek word 'gymnos,' meaning naked.","Ancient Greece","Wearing golden masks","Completely naked","Singing hymns","Carrying torches","","","OptionB","medium"
"World History","6","The Fateful Telegram","In 1917, British cryptographers intercepted a secret message that helped draw America into WWI. This inflammatory communication, known as the Zimmermann Telegram, proposed an alliance between which two nations against the United States?","The Zimmermann Telegram was a diplomatic proposal from Germany to Mexico, suggesting that if Mexico joined the German cause and attacked the US, they could reclaim territories lost in the Mexican-American War. This diplomatic blunder helped push the previously neutral United States into World War I.","Modern History","Germany and Mexico","Austria and Spain","Russia and Japan","Turkey and Brazil","","","OptionA","medium"
"Ancient History","7","Ancient Medicine Man","Known as the 'Father of Medicine,' this Ancient Greek physician's oath still guides medical ethics today. While treating patients during the great plague of Athens, he noted that survivors never caught the disease twice, introducing the concept of immunity. Who was he?","Hippocrates revolutionized medicine by establishing it as a discipline distinct from religion and magic. He was the first to describe many diseases and conditions, and his teachings emphasized careful observation and clinical documentation.","Classical Antiquity","Hippocrates","Galen","Aristotle","Pythagoras","","","OptionA","medium"
"US History","8","Presidential Peculiarities","Which US President was so fond of skinny-dipping in the Potomac River that he would sometimes conduct informal press conferences while swimming nude?","John Quincy Adams regularly swam naked in the Potomac at 5 AM. A female reporter once sat on his clothes until he agreed to an interview, marking perhaps the most unusual presidential press conference in history.","American Politics","John Quincy Adams","Theodore Roosevelt","Andrew Jackson","Thomas Jefferson","","","OptionA","medium"
"US History","9","The Lost Colony","When English ships returned to the Roanoke Colony in 1590, they found it completely abandoned, with only the word 'CROATOAN' carved into a fence post. In which modern US state was this mysterious disappearance?","The Roanoke Colony, established on Roanoke Island in present-day North Carolina, became known as 'The Lost Colony' after all 115 settlers vanished without a trace, leaving behind one of America's earliest mysteries.","Colonial America","North Carolina","Virginia","South Carolina","Georgia","","","OptionA","medium"
"Ancient History","10","Ancient Engineering Marvel","Built around 1500 BCE, this ancient wonder used a revolutionary counterweight system and required over 1,000 men to operate. What was this massive Bronze Age invention used to protect the city of Memphis?","The Nilometer was an ingenious device used to measure the annual Nile flood levels, crucial for Egyptian agriculture and tax collection. It was one of the earliest examples of large-scale civic engineering in human history.","Ancient Egyptian History","The Nilometer","The Water Clock","The Solar Calendar","The Stone Pulley","","","OptionA","medium"
"US History","11","The Fateful Tea Party","On a frigid December night in 1773, colonists disguised as Mohawk Indians dumped 342 chests of tea into Boston Harbor. What was the value of the destroyed tea in modern currency?","The tea destroyed was worth £9,659 in 1773 currency, which equals approximately $1.7 million today. This act of defiance became a catalyst for the American Revolution.","Colonial America","$1.7 million","$500,000","$3.2 million","$800,000","","","OptionA","medium"
"World History","12","Napoleon's Sweet Tooth","During his exile on Saint Helena, Napoleon became obsessed with which comfort food, ordering it daily despite his declining health?","Napoleon developed a peculiar addiction to jelly during his exile, consuming it daily. His British captors noted his excessive consumption in their records.","European History","Chocolate mousse","Jelly","Ice cream","Custard","","","OptionB","medium"
"Ancient History","13","The First Emperor's Army","When craftsmen created the Terracotta Army for Emperor Qin Shi Huang, they signed their names on each warrior they completed. What was the consequence of this pride in craftsmanship?","The emperor ordered all craftsmen who signed their work to be executed to ensure they couldn't create similar works for anyone else.","Ancient China","They were executed","They received gold rewards","They became royal artisans","They were imprisoned","","","OptionA","medium"
"US History","14","The White House Feast","When Andrew Jackson left office in 1837, he threw a party featuring a 1,400-pound cheese wheel. How long did it take White House visitors to completely consume it?","The massive cheese wheel, a gift from New York dairy farmers, was devoured in just two hours by over 10,000 visitors who came to the White House.","Presidential History","Two hours","Two days","One week","One month","","","OptionA","medium"
"Ancient History","15","Ancient Roman Fashion Crime","In ancient Rome, wearing which color could result in death unless you were the emperor?","Tyrian purple, made from thousands of murex sea snails, was so expensive that Emperor Nero decreed only he could wear it. Violators faced death.","Ancient Rome","Royal purple","Crimson red","Golden yellow","Azure blue","","","OptionA","medium"
"World History","16","The Last Roman Emperor","As Ottoman cannons thundered against Constantinople's ancient walls in 1453, what was the name of the last Byzantine Emperor who shed his purple regalia and died fighting alongside his soldiers?","Constantine XI Palaeologus was the last Byzantine Emperor. In a poetic twist of fate, he shared the same name as Constantine I, who had founded Constantinople. He died heroically defending his city, and his body was never found.","Medieval History","Constantine XI Palaeologus","Alexios V Doukas","John VIII Palaeologus","Manuel II Palaeologus","","","OptionA","medium"
"US History","17","Lincoln's Fateful Night","On the evening of April 14, 1865, which actor was not originally scheduled to perform at Ford's Theatre but insisted on appearing in 'Our American Cousin' before his infamous act?","John Wilkes Booth, a famous actor of his time, specifically arranged to perform that night, knowing Lincoln would be in attendance. He used his familiarity with the theatre to plan his attack.","Civil War Era","Harry Hawk","John Wilkes Booth","Edwin Booth","Laura Keene","","","OptionB","medium"
"Ancient History","18","The Ancient Library","In the great Library of Alexandria, which brilliant female mathematician and philosopher taught before meeting her tragic end at the hands of a Christian mob in 415 CE?","Hypatia was a renowned scholar who taught philosophy and astronomy. Her murder marked a symbolic end to the classical age in Alexandria.","Classical Antiquity","Hypatia","Aspasia","Diotima","Theano","","","OptionA","medium"
"US History","19","The Manhattan Project's Secret","In the dusty halls of Los Alamos, which scientist, known for his bongo-playing and practical jokes, helped calculate the impact waves of the first atomic bomb?","Richard Feynman, besides being a brilliant physicist, was known for his colorful personality and ability to crack safes containing secret documents at Los Alamos.","World War II","Enrico Fermi","Richard Feynman","Robert Oppenheimer","Hans Bethe","","","OptionB","medium"
"Ancient History","20","The First Emperor's Army","When farmers discovered the Terracotta Army in 1974, what surprising detail about the 8,000 warriors revealed the ancient Chinese artisans' extraordinary attention to detail?","Each warrior had unique facial features, suggesting they were modeled after real soldiers in Emperor Qin's army, making it one of the most remarkable artistic achievements in history.","Ancient China","Each face was unique","They were all exactly the same height","They were painted gold originally","They all faced magnetic north","","","OptionA","medium"
