Category,Question#,Title,Detail_lesson,School,CustomInstruction
"Are Right, A Lot",1,Data-Driven Decision Making,Describe how your team ensures decisions are consistently informed by reliable data.,,Name one data source your team trusts and one it has learned not to. The useful part is how you tell them apart.
"Are Right, A Lot",2,Balancing Confidence and Humility,Share how you balance confidence in your decisions with openness to new information.,,Describe the signal that makes you reopen a decision you already announced. Then say when that signal last actually fired.
"Are Right, A Lot",3,Improving Decision Accuracy,Provide a strategy you use to continuously improve decision-making accuracy within your team.,,"Give the mechanism, not the intention: who reviews past decisions, on what cadence, and what changed after the last review."
"Are Right, A Lot",4,Learning from Mistakes,Discuss a mistake in decision-making your team made and how you adjusted your approach afterward.,,"Tell it in order — the call you made, what it cost, what you now do differently. Skip the part where the information was to blame."
"Are Right, A Lot",5,Leveraging Diverse Opinions,Explain how your team leverages diverse perspectives to improve decision outcomes.,,"Name a decision where a dissenting view changed the outcome, and say how that view got into the room in the first place."
"Are Right, A Lot",6,Challenging Biases,Describe a situation where you challenged biases or assumptions leading to better decisions.,,Name the bias and how you caught it. 'We were biased' is not an answer; 'we only asked the people who already agreed' is.
"Are Right, A Lot",7,Building Decision Confidence,How do you build confidence among stakeholders in your decision-making processes?,,"Describe what you actually show stakeholders — reasoning, alternatives, track record — and which of those moved them."
"Are Right, A Lot",8,Cross-Functional Decision Making,Share how your team effectively navigates decision-making involving multiple functions or teams.,,Say who held the final call and how that was agreed before the work started. Most cross-functional failures are decision-rights failures.
"Are Right, A Lot",9,Validating Hypotheses,Explain how you validate hypotheses before committing to major decisions or changes.,,"State one hypothesis you tested, the cheapest test you could design for it, and the result that would have killed it."
"Are Right, A Lot",10,Transparency in Decisions,Discuss how you maintain transparency in your team's decision-making processes to build trust.,,"Describe what you publish and where. Then say what you deliberately do not publish, and why the line sits there."
Bias for Action,1,Rapid Decision Making,Share how your team emphasizes rapid decision-making in daily operations.,,Name one decision your team makes fast on purpose and one it deliberately slows down. The rule that separates them is the answer.
Bias for Action,2,Overcoming Analysis Paralysis,Provide an example of overcoming analysis paralysis to take timely action.,,"Describe the moment you decided you had enough information. What triggered it — a deadline, a cost, someone saying it out loud?"
