Category,Question#,Title,Detail_lesson,School
"Are Right, A Lot",1,Data-Driven Decision Making,Describe how your team ensures decisions are consistently informed by reliable data.,School of Decision Making
"Are Right, A Lot",2,Balancing Confidence and Humility,Share how you balance confidence in your decisions with openness to new information.,School of Decision Making
"Are Right, A Lot",3,Improving Decision Accuracy,Provide a strategy you use to continuously improve decision-making accuracy within your team.,School of Decision Making
"Are Right, A Lot",4,Learning from Mistakes,Discuss a mistake in decision-making your team made and how you adjusted your approach afterward.,School of Decision Making
"Are Right, A Lot",5,Leveraging Diverse Opinions,Explain how your team leverages diverse perspectives to improve decision outcomes.,School of Decision Making
"Are Right, A Lot",6,Challenging Biases,Describe a situation where you challenged biases or assumptions leading to better decisions.,School of Decision Making
"Are Right, A Lot",7,Building Decision Confidence,How do you build confidence among stakeholders in your decision-making processes?,School of Decision Making
"Are Right, A Lot",8,Cross-Functional Decision Making,Share how your team effectively navigates decision-making involving multiple functions or teams.,School of Decision Making
"Are Right, A Lot",9,Validating Hypotheses,Explain how you validate hypotheses before committing to major decisions or changes.,School of Decision Making
"Are Right, A Lot",10,Transparency in Decisions,Discuss how you maintain transparency in your team's decision-making processes to build trust.,School of Decision Making
Bias for Action,1,Rapid Decision Making,Share how your team emphasizes rapid decision-making in daily operations.,School of Action Orientation
Bias for Action,2,Overcoming Analysis Paralysis,Provide an example of overcoming analysis paralysis to take timely action.,School of Action Orientation
Bias for Action,3,Prompt Issue Resolution,Explain how quickly addressing issues has positively impacted your team's success.,School of Action Orientation
Bias for Action,4,Quick Action Culture,Discuss practices your team uses to cultivate a culture of quick action and responsiveness.,School of Action Orientation
Bias for Action,5,Balancing Speed and Accuracy,Describe how your team balances the need for speed with ensuring decision accuracy.,School of Action Orientation
Bias for Action,6,Taking Calculated Risks,Give an example of taking calculated risks that resulted in significant team benefits.,School of Action Orientation
Bias for Action,7,Reducing Delays,How has your team actively reduced delays to accelerate project timelines?,School of Action Orientation
Bias for Action,8,Proactive Initiative,Share a scenario where proactive initiative prevented potential problems.,School of Action Orientation
Bias for Action,9,Immediate Crisis Response,Describe your team's strategy for immediate response during a crisis situation.,School of Action Orientation
Bias for Action,10,Accelerating Delivery,Explain how a focus on bias for action helped your team accelerate delivery on critical projects.,School of Action Orientation
Customer Obsession,1,Relentless Customer Advocacy,Jeff Bezos famously leaves an empty chair at meetings to symbolize the customer’s presence. How would you incorporate constant customer advocacy in your meetings?,School of Customer Centricity
Customer Obsession,2,Inventing for Unspoken Needs,Amazon anticipated customer needs with innovations like Prime. Can you identify an unspoken customer need in your industry and propose an innovative solution?,School of Customer Centricity
Customer Obsession,3,Long-Term Customer Trust,Amazon values long-term customer relationships above short-term profits. Describe a situation where choosing long-term customer trust might outweigh immediate financial gains.,School of Customer Centricity
Customer Obsession,4,Prioritizing Customer Satisfaction Over Competition,Amazon prioritizes customer experience even when competitors offer tempting distractions. Share how you would remain focused on customer satisfaction amid competitive pressures.,School of Customer Centricity
Customer Obsession,5,Using Customer Feedback Proactively,Amazon uses customer reviews extensively to improve products proactively. Explain how you can systematically use customer feedback to innovate or improve your team's offerings.,School of Customer Centricity
Customer Obsession,6,Transparent Customer Communication,"Amazon emphasizes transparency with customers, especially during challenges. How would you communicate transparently with customers about a significant service disruption?",School of Customer Centricity
Customer Obsession,7,Personalized Customer Experience,Amazon personalizes customer interactions based on past behavior. How could your team use existing data to enhance personalization for your customers?,School of Customer Centricity
Customer Obsession,8,Customer-Centric Innovation,Kindle and Alexa exemplify Amazon's customer-driven innovation. Identify a recent innovation you delivered driven primarily by customer needs.,School of Customer Centricity
Customer Obsession,9,Rapid Response to Customer Issues,"Amazon responds quickly to issues affecting customers, even if it means internal disruption. How would your team rapidly respond to a critical customer-facing issue?",School of Customer Centricity
Customer Obsession,10,Embedding Customer Obsession in Culture,Amazon deeply embeds customer obsession into their company culture. What concrete steps could your team take to make customer obsession more integral to your daily operations?,School of Customer Centricity
Deliver Results,1,Outcome-Oriented Approach,Describe your team's approach to ensuring outcomes consistently align with organizational goals.,School of Performance
Deliver Results,2,Meeting High Expectations,Provide an example of how your team met or exceeded high expectations despite challenges.,School of Performance
Deliver Results,3,Achieving Consistent Results,"Share practices your team employs to achieve consistent, measurable results.",School of Performance
Deliver Results,4,Resilient Execution,Explain how your team demonstrates resilience in execution when facing obstacles.,School of Performance
Deliver Results,5,Measuring Success,Discuss how your team effectively measures and tracks the success of initiatives.,School of Performance
Deliver Results,6,Prioritization Under Pressure,Describe how your team prioritizes actions effectively under pressure to deliver results.,School of Performance
Deliver Results,7,Aligning Actions with Goals,Explain strategies your team uses to ensure actions clearly align with intended goals.,School of Performance
Deliver Results,8,Recovering from Setbacks,Share an experience of successfully recovering from setbacks and still delivering strong results.,School of Performance
Deliver Results,9,Exceeding Objectives,Provide an example of significantly exceeding initial objectives on a critical project.,School of Performance
Deliver Results,10,Focused Execution,Describe how your team maintains a strong focus on execution to ensure timely results.,School of Performance
Dive Deep,1,Detailed Analysis,Describe an instance where detailed analysis significantly impacted a decision or outcome.,School of Analysis and Depth
Dive Deep,2,Root Cause Identification,Provide a scenario where identifying the root cause of an issue prevented future problems.,School of Analysis and Depth
Dive Deep,3,Data-Driven Insights,Explain how data-driven insights guided your team to a successful outcome.,School of Analysis and Depth
Dive Deep,4,Deep Investigations,Share a time when deep investigation led your team to discover critical insights.,School of Analysis and Depth
Dive Deep,5,Encouraging Detailed Inquiry,Discuss how your team actively encourages detailed inquiry and analysis in decision-making.,School of Analysis and Depth
Dive Deep,6,Precision in Decision Making,Give an example of how precision in decision-making benefited your project significantly.,School of Analysis and Depth
Dive Deep,7,Thorough Problem-Solving,Describe a thorough approach your team took to solve a complex problem effectively.,School of Analysis and Depth
Dive Deep,8,Managing Complexity,Explain how your team successfully managed complexity by diving deep into issues.,School of Analysis and Depth
