Category,Question#,Title,Detail_lesson,School,CustomInstruction
Music,1,"THE GREATEST MUSICAL ARTIST","Technical skill, cultural reach, invention, staying power — no single measure settles it, which is the point.","","Name one artist and defend them in one sentence. Say which yardstick you are using — influence, craft, or what the music did to you — because the room will argue about the yardstick, not the name."
Film,2,"THE MOST INFLUENTIAL FILM EVER MADE","Influence is not the same as quality or box office. Some films changed how movies are made; others changed what audiences would accept.","","Pick one film and say what changed *because of it* — a technique, a genre, an argument. If you cannot name the thing that changed, pick a different film."
Art,3,"THE GREATEST WORK OF ART IN HISTORY","Painting, sculpture, building, photograph — any medium counts. Technical mastery and cultural weight often point at different works.","","Name the work and the room it lives in if you know it. Then finish this sentence: without this piece, art would be missing ______."
Culture,4,"THE MOST INFLUENTIAL PERSON IN HISTORY","Influence cuts both ways — some of the most consequential lives were not admirable ones.","","Name one person and the specific change that traces back to them. Judge by consequence, not by whether you would want dinner with them."
Travel,5,"THE ONE PLACE EVERYONE SHOULD SEE","Some places earn it through beauty, some through history, some because they rearrange how you think.","","Name the place and the single moment there that justifies the trip — a view, a meal, a walk. Vague endorsements lose to specific ones."
Food,6,"THE GREATEST COMFORT FOOD","Comfort food is rarely the best food. It is the food that does a job.","","Name the dish and the situation it repairs. Bonus if it is yours rather than a national favourite."
Sports,7,"THE GREATEST ATHLETE OF ALL TIME","Dominance within a sport, or impact beyond it? Longevity, or peak? The criteria decide the winner before the names do.","","State your criterion first, then your athlete. One sentence each. Cross-sport comparisons are allowed and encouraged."
Literature,8,"THE MOST IMPORTANT BOOK EVER WRITTEN","Important is doing a lot of work here: scripture, science, novels and manifestos have all reshaped how people live.","","Name the book and who it changed — a field, a country, a movement. Personal favourites are fine only if you can show the ripple."
Innovation,9,"THE GREATEST INVENTION IN HUMAN HISTORY","The candidates range from the plough to the transistor. The strongest cases are usually for inventions that made other inventions possible.","","Name one invention and what became possible only after it. Resist naming the most recent thing you used."
Life,10,"THE BEST AGE TO BE","Each decade trades something away for something else: energy for judgement, freedom for capability, certainty for perspective.","","Name an age or decade and the trade it wins. Answer for a life in general, not just for yours — then tell us if your own answer differs."
