Category,Question#,Title,QuestionDetail,AnswerDetails,School,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Difficulty
"Technology",1,"API","What does API stand for?","Application Programming Interface. The contract one piece of software offers another: what you can ask for, and what you get back.","","Application Programming Interface","Advanced Protocol Integration","Automated Process Implementation","Application Process Interface","OptionA","easy"
"Technology",2,"Who Made Python","Which language did Guido van Rossum create?","Python, released in 1991. He named it after Monty Python's Flying Circus, not the snake.","","Java","Python","Ruby","JavaScript","OptionB","easy"
"Technology",3,"The First iPhone","In which year did the first iPhone go on sale?","2007. Announced in January, on sale in June, and it reset what a phone was expected to be.","","2005","2006","2007","2008","OptionC","easy"
"Technology",4,"HTTP","What does HTTP stand for?","HyperText Transfer Protocol — the request-and-response convention every web page still travels on.","","HyperText Transfer Protocol","High Transfer Text Protocol","HyperText Translation Process","High Technical Transfer Protocol","OptionA","easy"
"Technology",5,"Who Wrote Git","Who created the Git version control system?","Linus Torvalds, in 2005, after the Linux kernel project lost access to the proprietary tool it had been using. He wrote the first working version in about ten days.","","Linus Torvalds","Guido van Rossum","Ken Thompson","Brendan Eich","OptionA","medium"
"Technology",6,"One Byte","What is the largest value a single unsigned byte can hold?","255. Eight bits gives 256 distinct values, and counting starts at zero.","","127","255","256","512","OptionB","medium"
"Technology",7,"EC2","Which cloud provider's compute service is called EC2?","Amazon Web Services. EC2 stands for Elastic Compute Cloud and launched in 2006.","","Google Cloud","Microsoft Azure","Amazon Web Services","IBM Cloud","OptionC","easy"
"Technology",8,"SQL","What does SQL stand for?","Structured Query Language, the standard way to ask a relational database for data.","","System Query Language","Structured Query Language","Simple Question Language","Server Query Language","OptionB","easy"
"Company Culture",9,"Twenty Percent Time","Which company became famous for letting engineers spend a fifth of their time on projects of their own choosing?","Google. Gmail and AdSense are the examples usually cited, though the policy has been much reduced since.","","Meta","Google","Apple","Microsoft","OptionB","easy"
"Company Culture",10,"Amazon's Rules","What does Amazon call the set of principles it hires and promotes against?","Leadership Principles. There are sixteen, and Amazon interviews explicitly against them.","","Core Values","Leadership Principles","The Amazonian Way","Customer Obsession Guidelines","OptionB","easy"
"Company Culture",11,"Move Fast","Which company's early internal motto was 'Move fast and break things'?","Facebook, now Meta. It was retired in 2014 in favour of 'Move fast with stable infrastructure'.","","Twitter","Uber","Facebook","Netflix","OptionC","easy"
"Company Culture",12,"The Netflix Deck","What phrase titles Netflix's famous culture document?","Freedom and Responsibility. The 2009 slide deck was downloaded millions of times and shaped a generation of startup HR policy.","","Unlimited PTO","No Rules, No Limits","Radical Candor","Freedom and Responsibility","OptionD","medium"
"Company Culture",13,"No Managers","Which retailer famously adopted holacracy, removing traditional managers company-wide?","Zappos, from 2013. Holacracy itself was developed by Brian Robertson; Zappos was its most prominent large-scale adopter, and around 18% of staff took a buyout rather than continue.","","Spotify","Valve","Zappos","GitHub","OptionC","hard"
"Company Culture",14,"OKR","What does OKR stand for?","Objectives and Key Results. The method came out of Intel under Andy Grove and spread through Google.","","Objectives and Key Results","Organizational Key Requirements","Operational Knowledge Results","Objective Knowledge Ratios","OptionA","easy"
"Company Culture",15,"Day 1","Which company's founder insisted it always be 'Day 1'?","Amazon. Jeff Bezos used the phrase from the first shareholder letter onward; Day 2, in his telling, is stasis followed by decline.","","Google","Amazon","Microsoft","Apple","OptionB","easy"
"Innovation History",16,"The Web Proposal","In which year did Tim Berners-Lee write the proposal that became the World Wide Web?","1989. The first website went live in 1991.","","1989","1991","1993","1995","OptionA","medium"
