Category,Question#,Title,Detail_lesson,School,CustomInstruction,Image
"Judgment Calls",1,"The decision you'd remake","Most teams carry one decision that quietly shaped everything that came after it. It is rarely the dramatic one; it is usually the quick call made in a corridor or a crowded meeting.","","Name the decision in one sentence. Then name the single piece of information that would have changed it. Do not relitigate the outcome - identify the missing input.",""
"Judgment Calls",2,"Reversible or one-way?","Some decisions can be undone in an afternoon. Others set concrete: contracts, data models, public commitments. Teams often apply the same amount of deliberation to both.","","Pick a decision your team is facing right now and estimate the cost of undoing it - in days, money, or trust. Then say whether the current level of debate matches that cost.",""
"Judgment Calls",3,"Who actually decides?","Ownership tends to be clear on the org chart and murky in the room. The gap shows up as decisions that get made twice, or not at all.","","Describe one recurring decision and name the role - not the person - that should own it. Then say what would visibly change if that ownership were written down.",""
"Risk and Reversibility",4,"The risk we stopped discussing","Every team has a risk it has quietly accepted. Acceptance is a legitimate choice; forgetting you made it is not.","","Name a risk your team lives with. Say roughly when it was last discussed out loud, and what event would force it back onto the agenda.",""
"Risk and Reversibility",5,"Cheapest way to be wrong","The value of an experiment is not what it proves - it is how quickly and cheaply it can disprove something you already believe.","","Describe the smallest test that would show your current plan is wrong. Give its cost in days and who would have to stop what they are doing.",""
"Risk and Reversibility",6,"What would have to be true?","Plans rest on assumptions that feel like facts because everyone repeats them. Naming one out loud usually changes the conversation.","","Take a plan you personally support and state one assumption it depends on. Phrase it as a claim someone could check, not as a hope.",""
"Saying No",7,"The last thing you declined","Declining well is a skill, and the wording matters more than the decision. Most of us default to a phrase we have never examined.","","Describe something you turned down and quote the sentence you used, as closely as you remember it. Judge the sentence, not the decision.",""
"Saying No",8,"Work nobody would start today","Effort keeps flowing to things that made sense eighteen months ago. Stopping them requires someone with the standing to say so.","","Name work still running that nobody would begin today. Then identify what keeps it alive: sunk cost, an outside promise, or simply no one empowered to stop it.",""
"Saying No",9,"Your cost of yes","Every yes displaces something. The displaced thing is usually invisible because it was never scheduled in the first place.","","Identify what actually slipped the last time you said yes. Name the specific piece of work, not a general feeling of being busy.",""
"Learning From Misses",10,"The near miss nobody logged","Organisations record failures and celebrate successes. The most instructive events - the ones caught just in time - usually leave no trace.","","Describe a problem that was caught late but not too late. Then say whether it was caught by a process or by an individual paying attention, and be honest about which.",""
"Learning From Misses",11,"Surprise, not failure","A surprise is cheaper than a failure and carries the same information. Teams that track surprises learn faster than teams that only track incidents.","","Name something that genuinely surprised your team recently, good or bad. Then state the belief that surprise corrected.",""
"Learning From Misses",12,"The lesson that didn't stick","Retrospective actions have a short half-life. They survive the meeting and rarely survive the next busy week.","","Recall a retrospective action that quietly died. Say what would have made it survive: an owner, a date, a default, or a smaller scope.",""
