Category,Question#,Title,QuestionDetail,AnswerDetails,School
"Are Right, A Lot",1,"Data-Driven Decision Making","Describe how your team ensures decisions are consistently informed by reliable data.","Focus on establishing data collection processes, validation methods, and decision frameworks that prioritize reliable information over assumptions.","School of Decision Making"
"Are Right, A Lot",2,"Balancing Confidence and Humility","Share how you balance confidence in your decisions with openness to new information.","Effective leaders demonstrate conviction while remaining receptive to new data and perspectives that might change their approach.","School of Decision Making"
"Are Right, A Lot",3,"Improving Decision Accuracy","Provide a strategy you use to continuously improve decision-making accuracy within your team.","Consider systematic approaches like post-decision reviews, feedback loops, and learning from both successful and unsuccessful outcomes.","School of Decision Making"
"Are Right, A Lot",4,"Learning from Mistakes","Discuss a mistake in decision-making your team made and how you adjusted your approach afterward.","Focus on how the team analyzed the mistake, identified root causes, and implemented systematic changes to prevent similar issues.","School of Decision Making"
"Are Right, A Lot",5,"Leveraging Diverse Opinions","Explain how your team leverages diverse perspectives to improve decision outcomes.","Consider how different viewpoints, experiences, and expertise contribute to more comprehensive and accurate decision-making.","School of Decision Making"
"Are Right, A Lot",6,"Challenging Biases","Describe a situation where you challenged biases or assumptions leading to better decisions.","Focus on identifying cognitive biases, questioning assumptions, and using structured approaches to overcome subjective thinking.","School of Decision Making"
"Are Right, A Lot",7,"Building Decision Confidence","How do you build confidence among stakeholders in your decision-making processes?","Consider transparency, communication of reasoning, track record demonstration, and inclusive decision-making approaches.","School of Decision Making"
"Are Right, A Lot",8,"Cross-Functional Decision Making","Share how your team effectively navigates decision-making involving multiple functions or teams.","Focus on coordination, communication, shared objectives, and managing competing priorities across different groups.","School of Decision Making"
"Are Right, A Lot",9,"Validating Hypotheses","Explain how you validate hypotheses before committing to major decisions or changes.","Consider testing approaches, pilot programs, data collection methods, and systematic validation before full implementation.","School of Decision Making"
"Are Right, A Lot",10,"Transparency in Decisions","Discuss how you maintain transparency in your team's decision-making processes to build trust.","Focus on clear communication, rationale sharing, and creating understanding of the decision-making process among team members.","School of Decision Making"
"Bias for Action",1,"Rapid Decision Making","Share how your team emphasizes rapid decision-making in daily operations.","Consider frameworks, delegation, decision criteria, and cultural practices that enable quick but effective decisions.","School of Action Orientation"
"Bias for Action",2,"Overcoming Analysis Paralysis","Provide an example of overcoming analysis paralysis to take timely action.","Focus on recognizing when sufficient information exists, setting decision deadlines, and accepting calculated risks.","School of Action Orientation"
"Bias for Action",3,"Prompt Issue Resolution","Explain how quickly addressing issues has positively impacted your team's success.","Consider how rapid response prevented escalation, maintained momentum, or preserved customer relationships.","School of Action Orientation"
"Bias for Action",4,"Quick Action Culture","Discuss practices your team uses to cultivate a culture of quick action and responsiveness.","Focus on empowerment, clear authority, streamlined processes, and removing barriers to action.","School of Action Orientation"
"Bias for Action",5,"Balancing Speed and Accuracy","Describe how your team balances the need for speed with ensuring decision accuracy.","Consider risk assessment, iterative approaches, and understanding when speed vs. accuracy should take priority.","School of Action Orientation"
"Bias for Action",6,"Taking Calculated Risks","Give an example of taking calculated risks that resulted in significant team benefits.","Focus on risk assessment, mitigation strategies, and how the team evaluated potential outcomes before acting.","School of Action Orientation"
"Bias for Action",7,"Reducing Delays","How has your team actively reduced delays to accelerate project timelines?","Consider process improvements, bottleneck removal, and systematic approaches to identifying and eliminating delays.","School of Action Orientation"
"Bias for Action",8,"Proactive Initiative","Share a scenario where proactive initiative prevented potential problems.","Focus on anticipation, early action, and how taking initiative before problems manifest saved time or resources.","School of Action Orientation"
"Bias for Action",9,"Immediate Crisis Response","Describe your team's strategy for immediate response during a crisis situation.","Consider preparation, clear roles, rapid communication, and systematic approaches to crisis management.","School of Action Orientation"
