Category,Question#,Title,Detail_lesson,School,CustomInstruction,Image
"Handoffs",1,"Where work waits","Work spends far more time waiting than being worked on. The waiting almost always happens at a boundary between two people or two teams.","","Identify the point where work sits idle longest on its way to done. Estimate the wait in hours or days, and name the handoff rather than the person.",""
"Handoffs",2,"Context that never travels","Some context lives only in the head of whoever has been there longest, and gets re-explained every single time.","","Name one thing you find yourself explaining repeatedly. Then propose exactly where it should live so the explaining stops.",""
"Handoffs",3,"Done means what?","Teams agree that work should be finished and disagree quietly about what finished means. The disagreement surfaces at the worst moment.","","State your team's real definition of done for one type of work - not the aspirational one. If two colleagues would answer differently, say so.",""
"Feedback",4,"Feedback you still use","Most advice evaporates. A small amount rewires how someone works for years, and it is worth knowing what makes the difference.","","Recall advice that changed how you work and quote it as closely as you can. Then say what made it land: timing, the person, or the specificity.",""
"Feedback",5,"The unsaid note","Nearly everyone is carrying one piece of feedback they have decided not to give. The hard part is the opening sentence.","","Think of feedback you are holding back, then write only the first sentence you would actually say out loud. No preamble, no softening paragraph.",""
"Feedback",6,"Praise that missed","Recognition that is too general reads as obligation. Recognition that names the specific act reads as attention.","","Describe recognition that felt hollow, without naming who gave it. Then rewrite it so it points at one concrete thing that person did.",""
"Focus and Attention",7,"Your best two hours","Deep work tends to happen in a narrow, predictable window that most calendars treat as ordinary time.","","Say when your best thinking reliably happens and what currently protects it. Then name the single thing that most often takes that window away.",""
"Focus and Attention",8,"The meeting you'd delete","Recurring meetings outlive their reason. The test is not whether the meeting is pleasant but whether anything breaks without it.","","Pick one recurring meeting and describe what would concretely break if it disappeared next week. If nothing would break, say that plainly.",""
"Focus and Attention",9,"Interrupt or queue?","Teams rarely agree on what deserves an interruption, so everything becomes urgent or nothing does.","","Describe how a colleague should reach you for something genuinely time-critical. Then name one category of request that should never arrive that way.",""
"Knowledge",10,"Where you go first","Written documentation and actual practice often diverge. What people really do when stuck is the more useful signal.","","Name your actual first stop when you get stuck - a person, a document, a channel. Then say whether that would work for someone who joined next Monday.",""
"Knowledge",11,"The bus-factor-one thing","Almost every team has a capability that rests on one person. It is usually known and rarely addressed.","","Identify something only one person on your team can currently do. Then suggest the smallest realistic step that makes it two people.",""
"Knowledge",12,"Documentation you trust","Trust in a document comes from a small number of signals: who owns it, when it last changed, and whether it contains a worked example.","","Name a document you genuinely rely on and say which signal earns your trust. Then name one your team maintains that fails the same test.",""
