Category,Question#,Title,Detail_lesson,School,CustomInstruction,CorrectAnswer,WrongAnswer1,WrongAnswer2,WrongAnswer3,WrongAnswer4,WrongAnswer5,Difficulty
"famous stars","1","In the totally radical year of 1983, Michael Jackson moonwalked across the stage performing 'Billie Jean' and debuted what iconic fashion piece that became a sensation?","The single white glove became one of Michael Jackson's most recognizable accessories and sparked a fashion trend","Pop Culture","Think about the fashion trends that defined the 80s","A single white sequined glove","White penny loafers","Zippered leather jacket","Fedora hat","","","medium"
"music video","2","Grab your Walkman and rewind! Which 1985 music video featured animated characters interacting with the band in a totally groundbreaking way, making everyone say 'Take on me, take me on'?","A-ha's 'Take On Me' used rotoscoping animation technique to create its iconic look","Music Videos","Consider the technological innovations in music videos","Take on Me - A-ha","Money for Nothing - Dire Straits","Sweet Dreams - Eurythmics","Wild Boys - Duran Duran","","","medium"
"arcade times","3","While kids were pumping quarters into Pac-Man machines, this 1982 song about video games became a one-hit wonder. Which totally tubular tune was it?","Buckner & Garcia's song celebrated the arcade gaming culture of the early 80s","Gaming Culture","Remember the connection between music and gaming culture","Pac-Man Fever","Space Invader","Video Killed the Radio Star","Games Without Frontiers","","","medium"
"80s culture","4","In the most bodacious fashion disaster of 1985, which two mega-popular artists collaborated on 'Dancing in the Street' wearing what can only be described as the most radical/terrible jumpsuits ever?","The video became infamous for both its fashion choices and the awkward dancing","Music History","Think about iconic 80s fashion moments","David Bowie and Mick Jagger","Elton John and Billy Joel","Paul McCartney and Michael Jackson","Freddie Mercury and David Bowie","","","medium"
"music","5","When Valley Girls were saying 'Gag me with a spoon' in 1983, which gnarly female rocker shocked parents by telling MTV that 'Love is a Battlefield'?","Pat Benatar's video featured rebellious dancing and became an MTV staple","Music History","Consider the impact of female rockers in the 80s","Pat Benatar","Cyndi Lauper","Madonna","Joan Jett","","","medium"
"music video","6","In Madonna's totally radical 1985 music video 'Material Girl', which iconic Hollywood blonde bombshell's performance was she channeling?","Madonna's pink dress and choreography were a direct homage to Marilyn Monroe's 'Diamonds Are a Girl's Best Friend' from the 1953 film 'Gentlemen Prefer Blondes'","80s pop culture","Play 'Material Girl' in the background while asking this question for maximum nostalgia!","Marilyn Monroe","Jane Russell","Jayne Mansfield","Betty Grable","","","medium"
"arcade times","7","Which totally tubular arcade game, released in 1981, featured a giant gorilla throwing barrels at a jumping plumber?","Donkey Kong was Nintendo's first major hit in North America and introduced Mario (originally called Jumpman)","80s gaming culture","Make barrel-rolling sound effects while reading the question!","Donkey Kong","King Kong's Revenge","Barrel Bash","Monkey Business","","","medium"
"famous stars","8","When Michael Jackson's hair caught on fire during the filming of what 1984 Pepsi commercial, which signature fashion item did he start rocking to cover his burns?","The incident occurred on January 27, 1984, and led to Jackson's use of this iconic accessory","80s fashion and pop culture","Moonwalk while revealing the answer!","Surgical mask","Fedora hat","Sequined glove","Military jacket","","","medium"
"music","9","Which gnarly 1985 song by a-ha featured groundbreaking rotoscope animation in its music video, showing a comic book character coming to life?","The video combined pencil-sketch animation with live action and won six awards at the 1986 MTV Video Music Awards","80s music videos","Sketch something while asking this question!","Take On Me","The Sun Always Shines on T.V.","Hunting High and Low","I've Been Losing You","","","medium"
"80s culture","10","In the most righteous fashion trend of 1985, which preppy clothing item did teens often wear inside-out thanks to the influence of Judd Nelson in 'The Breakfast Club'?","This trend became a symbol of teenage rebellion and non-conformity","80s fashion trends","Fist pump in the air like Judd Nelson at the end of The Breakfast Club while revealing the answer!","Denim jacket","Polo shirt","Sweater vest","Members Only jacket","","","medium"
"music video","11","In 1984, while rocking fingerless gloves and neon headbands, which totally tubular music video became the first to feature breakdancing on MTV?","Malcolm McLaren's 'Buffalo Gals' was groundbreaking for bringing street culture to mainstream MTV","1980s Pop Culture","Think about the early days of MTV when breakdancing was fresh and new!","Buffalo Gals by Malcolm McLaren","Beat It by Michael Jackson","Rock It by Herbie Hancock","Hey You by Rock Steady Crew","","","medium"
"famous stars","12","While cruising the mall in your acid-washed jeans, you might have heard that which mega-star turned down the role of prom queen Sandy in the 1978 film 'Grease' before Olivia Newton-John got the part?","Marie Osmond declined the role due to disagreement with Sandy's character transformation","1980s Entertainment","Channel your inner Valley Girl while answering!","Marie Osmond","Debbie Harry","Linda Ronstadt","Susan Dey","","","medium"
"arcade times","13","Rad! You're pumping quarters into Dragon's Lair at the arcade when you hear this song blast from the boombox. Which 1983 hit includes the sound of actual video game noises?","The song incorporated sounds from actual Pac-Man and Space Invader games","1980s Gaming & Music","Close your eyes and imagine being in a neon-lit arcade!","Pac-Man Fever by Buckner & Garcia","Video Killed The Radio Star by The Buggles","Games People Play by Alan Parsons Project","Space Age Love Song by A Flock of Seagulls","","","medium"
"80s culture","14","Like, totally gnarly! Which New Wave band's lead singer rocked a signature multicolored mullet that inspired countless teen hairstyles in 1982?","A Flock of Seagulls' Mike Score's distinctive hairstyle became an iconic 80s look","1980s Fashion","Remember the wild hairstyles of the 80s!","A Flock of Seagulls","Duran Duran","The Human League","Tears for Fears","","","medium"
"music","15","No way! While wearing your Members Only jacket and sipping New Coke, you might have heard that which 1985 song's music video was partially shot in black and white to save money on the budget?","A-ha's 'Take On Me' combined pencil-sketch animation with live action, partly in black and white","1980s Music Videos","Think about those innovative early MTV videos!","Take On Me by a-ha","Money For Nothing by Dire Straits","Sweet Dreams by Eurythmics","Rio by Duran Duran","","","medium"
"music video","16","In MTV's totally radical early days, which music video kicked off the channel's launch in 1981 with the prophetic words 'Video Killed The Radio Star'?","The Buggles made history with this iconic moment that changed music television forever","MTV History","Play the video clip before asking the question to set the mood","The Buggles","Duran Duran","The Police","Pat Benatar","","","medium"
"arcade times","17","Which totally tubular mall rat hangout game had everyone dropping quarters while jamming to 'Pac-Man Fever' by Buckner & Garcia in 1982?","Pac-Man became such a cultural phenomenon it inspired its own hit song","80s Gaming Culture","Have arcade sounds playing in background","Pac-Man","Donkey Kong","Galaga","Space Invaders","","","medium"
"famous stars","18","Which gnarly Material Girl shocked audiences by rolling around in a wedding dress during the 1984 MTV Video Music Awards?","This controversial performance of 'Like a Virgin' became one of MTV's most memorable moments","Pop Culture Icons","Show iconic wedding dress photo before question","Madonna","Cyndi Lauper","Pat Benatar","Debbie Harry","","","medium"
"music video","19","Which righteous music video featured animated rotoscoping technology that had everyone talking about that totally awesome glowing white suit?","A-ha's groundbreaking video combined animation with live action in an innovative way","Music Video Innovation","Show clip of the animation technique","Take On Me","Money for Nothing","Sweet Dreams","Rio","","","medium"
"music","20","Which bodacious boombox-worthy cassette tape became the first album to generate four Billboard Hot 100 #1 singles?","Michael Jackson's 1983 album changed pop music forever","Music History","Play short clips from each #1 single","Thriller","Like a Virgin","Purple Rain","Born in the USA","","","medium"
"music video","21","In Madonna's totally radical 1985 hit 'Material Girl', what color dress did she rock while channeling Marilyn Monroe?","The iconic pink dress was a direct homage to Marilyn Monroe's performance of 'Diamonds Are a Girl's Best Friend' from 'Gentlemen Prefer Blondes'","80s Fashion & Music Videos","Put on your best Madonna voice while reading this!","Hot Pink","Electric Blue","Cherry Red","Neon Yellow","","","medium"
"arcade times","22","Which totally tubular arcade game, released in 1981, had players jumping over barrels thrown by a giant ape?","This Nintendo classic introduced Mario (originally called Jumpman) and launched a gaming empire","80s Gaming Culture","Make barrel-jumping motions while answering!","Donkey Kong","Pac-Man","Space Invaders","Frogger","","","medium"
"music video","23","When Michael Jackson's 'Thriller' video premiered in 1983, how long was this epic mini-movie that had everyone doing the zombie dance?","The video was directed by John Landis and revolutionized music videos forever","80s Music Video Revolution","Do the Thriller dance while contemplating your answer!","14 minutes","8 minutes","10 minutes","6 minutes","","","medium"
"80s culture","24","Which bodacious hair product was totally essential for creating those gnarly 80s hairstyles that defied gravity?","This product was crucial for maintaining those sky-high bangs and rock star looks","80s Fashion & Beauty","Tease your hair while answering!","Aqua Net","Vidal Sassoon","L'Oreal Studio","Final Net","","","medium"
