Category,Question#,Title,Detail_lesson,School,CustomInstruction,AnswerDetails,Image
Renaissance,1,THE ENIGMATIC SMILE,,"Leonardo da Vinci, c. 1503",,"Real title: Mona Lisa (La Gioconda), Leonardo da Vinci, c. 1503-1519, Louvre, Paris. Trivia: it was stolen from the Louvre in 1911 by Vincenzo Peruggia, a former museum workman, and the two years it spent missing are much of the reason it is the most famous painting in the world.","https://commons.wikimedia.org/wiki/Special:FilePath/Mona_Lisa,_by_Leonardo_da_Vinci,_from_C2RMF_retouched.jpg?width=900"
Post-Impressionism,2,A SWIRLING NIGHT SKY,,"Vincent van Gogh, 1889",,"Real title: The Starry Night, Vincent van Gogh, 1889, Museum of Modern Art, New York. Trivia: van Gogh painted it from the window of his room at the Saint-Paul asylum in Saint-Remy-de-Provence, where he had admitted himself voluntarily the year before.",https://commons.wikimedia.org/wiki/Special:FilePath/Van_Gogh_-_Starry_Night_-_Google_Art_Project.jpg?width=900
Ukiyo-e,3,THE TOWERING SEA,,"Katsushika Hokusai, c. 1831",,"Real title: The Great Wave off Kanagawa (Under the Wave off Kanagawa), from the series Thirty-six Views of Mount Fuji, Katsushika Hokusai, c. 1831. Trivia: it is a woodblock print rather than a painting, so thousands of impressions were pulled - and the small peak in the trough of the wave is Mount Fuji, which most people miss on first look.",https://commons.wikimedia.org/wiki/Special:FilePath/The_Great_Wave_off_Kanagawa.jpg?width=900
Dutch Golden Age,4,A GLANCE OVER THE SHOULDER,,"Johannes Vermeer, c. 1665",,"Real title: Girl with a Pearl Earring, Johannes Vermeer, c. 1665, Mauritshuis, The Hague. Trivia: it is not a portrait but a tronie - a study of a type or a costume rather than of a named sitter - so nobody knows who she was, or whether she was anyone at all.",https://commons.wikimedia.org/wiki/Special:FilePath/Meisje_met_de_parel.jpg?width=900
Renaissance,5,ARRIVAL ON THE SHORE,,"Sandro Botticelli, c. 1485",,"Real title: The Birth of Venus, Sandro Botticelli, c. 1485, Uffizi, Florence. Trivia: Botticelli painted it on canvas at a time when Florentine works on this scale were normally painted on wooden panel.",https://commons.wikimedia.org/wiki/Special:FilePath/Sandro_Botticelli_-_La_nascita_di_Venere_-_Google_Art_Project_-_edited.jpg?width=900
Expressionism,6,A CRY ON THE BRIDGE,,"Edvard Munch, 1893",,"Real title: The Scream, Edvard Munch, 1893, National Museum, Oslo. Trivia: the figure is not the one screaming. Munch's own note describes hearing a scream passing through nature and covering his ears against it. He made several versions, in paint and in pastel, plus a lithograph.",https://commons.wikimedia.org/wiki/Special:FilePath/The_Scream.jpg?width=900
Symbolism,7,AN EMBRACE IN GOLD,,"Gustav Klimt, 1908",,"Real title: The Kiss (Der Kuss), Gustav Klimt, 1907-1908, Belvedere, Vienna. Trivia: the gold leaf belongs to Klimt's golden phase, which followed a trip to Ravenna and its Byzantine mosaics.",https://commons.wikimedia.org/wiki/Special:FilePath/Gustav_Klimt_016.jpg?width=900
Romanticism,8,ABOVE THE CLOUDS,,"Caspar David Friedrich, c. 1818",,"Real title: Wanderer above the Sea of Fog, Caspar David Friedrich, c. 1818, Kunsthalle Hamburg. Trivia: the hidden face is the point. Friedrich's Ruckenfigur device puts the viewer in the man's place looking out, and who he was meant to be has never been settled.",https://commons.wikimedia.org/wiki/Special:FilePath/Caspar_David_Friedrich_-_Wanderer_above_the_sea_of_fog.jpg?width=900
Dutch Golden Age,9,THE COMPANY STEPS OUT,,"Rembrandt van Rijn, 1642",,"Real title: The Night Watch (Militia Company of District II under the Command of Captain Frans Banninck Cocq), Rembrandt van Rijn, 1642, Rijksmuseum, Amsterdam. Trivia: it is not a night scene - darkened varnish earned it that nickname - and in 1715 it was cut down on all four sides to fit a wall in Amsterdam's town hall, losing two figures from the left edge.",https://commons.wikimedia.org/wiki/Special:FilePath/The_Nightwatch_by_Rembrandt_-_Rijksmuseum.jpg?width=900
Pointillism,10,AN AFTERNOON IN THE PARK,,"Georges Seurat, 1884",,"Real title: A Sunday Afternoon on the Island of La Grande Jatte, Georges Seurat, 1884-1886, Art Institute of Chicago. Trivia: Seurat worked on it for about two years and made dozens of preparatory studies, then later added a painted border of dots so the picture would not have to sit against a conventional frame.","https://commons.wikimedia.org/wiki/Special:FilePath/A_Sunday_on_La_Grande_Jatte,_Georges_Seurat,_1884.jpg?width=900"
