"Category","Question#","Title","QuestionDetail","AnswerDetails","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Difficulty","Tags"
"Telling Them Apart","1","The Four, Ranked by Power","Glossary, controlled vocabulary, taxonomy, ontology. Put them in order from least expressive to most expressive - from merely explaining a term to stating relationships a machine can reason over. Which order is right?","This is the standard semantic spectrum, and each step keeps everything the step before it had and adds structure. A GLOSSARY defines terms so humans reading a document mean the same thing. A CONTROLLED VOCABULARY fixes which terms you may use and nominates one preferred label per concept. A TAXONOMY adds hierarchy - broader and narrower - between those concepts. An ONTOLOGY adds typed relationships, properties and formal axioms a reasoner can act on. If you can name which rung you are standing on, you can usually name what is missing.","Taxonomy, then ontology, then glossary, then controlled vocabulary","Ontology, then taxonomy, then controlled vocabulary, then glossary","Glossary, then controlled vocabulary, then taxonomy, then ontology","Controlled vocabulary, then glossary, then ontology, then taxonomy","OptionC","easy","semantic-spectrum|foundations"
"Telling Them Apart","2","Three Words, One Concept","Product writes 'churn', finance writes 'attrition', support writes 'cancellation'. You need every system to file all three under a single concept, with 'churn' displayed as the official label. Which artefact is the one whose specific job that is?","This is precisely what a controlled vocabulary does: it establishes the set of permitted terms, nominates one preferred label per concept, and keeps the others as non-preferred entry points pointing at it. In SKOS that is skos:prefLabel and skos:altLabel on the same concept. A glossary would define all three words beautifully and leave everyone free to keep using all three, because a glossary has no enforcement. A taxonomy or an ontology would also solve it - but only because each of them contains a controlled vocabulary underneath, and you do not need the hierarchy to fix this particular problem.","A controlled vocabulary","A taxonomy","An ontology","A glossary","OptionA","medium","synonyms|preferred-label"
"Telling Them Apart","3","The Question Only One of Them Can Answer","A system is asked: 'Every Contract has exactly one Counterparty, and every Counterparty is an Organisation - so is this Contract linked to an Organisation?' It answers correctly without anyone having recorded that fact. Which artefact made that possible?","Inference is the ontology's distinguishing feature and the cleanest practical line between an ontology and everything below it. An ontology declares typed relationships (hasCounterparty), the classes at each end, cardinality ('exactly one') and axioms - and a reasoner then derives facts nobody stated. A taxonomy knows only that one concept is broader than another; it has no way to express what a contract HAS, or how many. So the test in a design meeting is blunt: if you need conclusions drawn for you, you need an ontology. If you only need things filed sensibly, you do not.","A glossary with unusually clear definitions","A controlled vocabulary with preferred labels","A taxonomy with broader and narrower relations","An ontology with typed relations and axioms","OptionD","medium","inference|ontology"
"Telling Them Apart","4","The Most Common Mislabel","Teams routinely call a thing a taxonomy when it is not one. Which of these is the clearest example of a controlled vocabulary that is NOT a taxonomy?","A flat pick-list is the purest controlled vocabulary there is: a closed set of permitted values with no relationships asserted between them. The moment you group those countries under regions and continents you have added broader and narrower relations, and you have a taxonomy. The nested product categories and the folder tree are both hierarchies; 'Manager is a subclass of Employee' is a subclass assertion, which is ontology territory. The test is one sentence long - if you cannot say that one term is broader than another, what you have is a controlled vocabulary, not a taxonomy.","A tree of departmental folders on a shared drive","A drop-down of 30 country names, alphabetical, with no groupings","Product categories nested four levels deep","A model in which Manager is declared a subclass of Employee","OptionB","hard","flat-list|classification"
"Glossary","5","What a Glossary Is Actually For","A glossary's primary audience, and the job it is doing, is best described as which of these?","A glossary is human-readable definitions, and that is the whole of it. Its job is shared understanding among readers, not machine processing - which is why a glossary alone never fixes a data-quality problem. Nothing stops somebody typing a term the glossary does not define, because a glossary has no enforcement mechanism at all. Validation on entry is what a controlled vocabulary adds; expanding a query to synonyms needs those synonyms recorded against a concept; inferring new facts needs an ontology. Publishing a glossary and expecting cleaner data is one of the most common and most understandable disappointments in this field.","Search engines, so that queries can be expanded to synonyms","Reasoners, so that new facts can be inferred from stated ones","Machines, so that data can be validated as it is entered","People, so that everyone reading a document means the same thing by a term","OptionD","easy","glossary|definitions"
"Glossary","6","Definition or Scope Note?","In vocabulary work a term can carry both a definition and a scope note. What is the difference between them?","A definition answers 'what does this word mean?'. A scope note answers 'when do I apply this term, and when do I not?' - it draws the boundary against the neighbouring terms, which is the thing that actually stops two people filing the same document in two different places. In SKOS they are separate properties for exactly this reason: skos:definition and skos:scopeNote. Practitioners will tell you the scope note earns its keep more often than the definition does, because disagreements in real vocabularies are almost never about meaning in the abstract - they are about where one term stops and the next one starts.","A definition says what the term means; a scope note says how to use it here - what it covers and what it excludes","A scope note is used only for terms that have been deprecated","They are two names for the same field","A scope note is simply a shorter definition","OptionA","medium","scope-note|skos"
"Controlled Vocabulary","7","What Happens to a Non-Preferred Term","A term in your controlled vocabulary is designated non-preferred. What becomes of it?","Non-preferred terms are kept on purpose - they are how people find things using their own words. The vocabulary records something equivalent to 'attrition USE churn', so a search box or a data-entry form quietly lands the user on the right concept without them having to know the official label. Deleting synonyms is one of the most damaging vocabulary mistakes there is: recall collapses, and the only people who can find anything are the ones who already knew the approved word - who are precisely the people who did not need help. In SKOS the approved label is skos:prefLabel and the alternates are skos:altLabel on the same concept.","It is flagged as an error wherever it appears","It is deleted, so that nobody can use it","It is kept as an entry point that leads the user to the preferred term for the same concept","It becomes a narrower term underneath the preferred one","OptionC","medium","synonyms|recall"
"Controlled Vocabulary","8","Two Meanings, One Spelling","Your vocabulary needs both Mercury the planet and Mercury the element. What is the standard way to handle a homograph like this?","A controlled vocabulary requires that each term maps to exactly one concept, so a homograph has to be split, conventionally with a parenthetical qualifier - Mercury (planet), Mercury (element). This is long-standing thesaurus practice and is set out in ISO 25964. Letting context decide at query time is what an uncontrolled free-text field does, and it is the reason a search for Mercury returns a mess. Merging them into one concept with two definitions destroys the point entirely: a planet and a chemical element are two concepts, not one concept viewed from two angles.","Pick whichever sense is more common and drop the other","Add a parenthetical qualifier to each, so that every term string is unique","Store one term and let the surrounding context decide the meaning at query time","Merge them into a single concept carrying two definitions","OptionB","hard","homograph|qualifier|iso-25964"
"Taxonomy","9","What the Hierarchy Is Claiming","In a well-built taxonomy, what does it mean when concept X sits underneath concept Y?","The standards recognise three legitimate hierarchical relationships and no others: generic (X is a kind of Y), whole-part (X is a part of Y), and instance (X is an instance of Y). Anything else - 'these two feel connected', 'they came from the same department', 'they live in the same folder' - is an associative relationship, and putting it in the hierarchy is the single most common way a taxonomy rots. The discipline that prevents it is small: for every proposed parent-child link, name which of the three kinds it is. If you cannot, the link belongs in a related-term relation instead, where it does no harm.","X is a kind of Y, a part of Y, or an instance of Y","X is related to Y in some way that has not been specified","X is stored in the same folder as Y","X was created after Y","OptionA","easy","hierarchy|broader-narrower"
"Taxonomy","10","A Concept With Two Parents","Tomato belongs under Fruits and, for your users, equally under Vegetables. What is that arrangement called, and is it permitted?","Polyhierarchy is legitimate and common. The test is that each parent link must independently pass the 'is a kind of / is a part of / is an instance of' check - polyhierarchy is a licence to record two true relationships, not a licence to record a vague one twice. It is not free, though. Browsing gets harder, and counting gets harder still, because a naive rollup will double-count anything sitting under two parents. Many teams reach for facets instead, splitting one tangled tree into several clean ones. What polyhierarchy is not is an error, and forcing every concept to have exactly one parent is how you end up with arbitrary placements nobody can find.","Orphaning, and it means the concept has no home","Faceting, and it requires a separate vocabulary for each parent","Polyhierarchy, and it is allowed when each parent relationship is genuinely valid on its own","Circularity, and it must always be broken","OptionC","medium","polyhierarchy|facets"
"Ontology","11","Class or Individual?","In ontology terms, which of these correctly separates a class from an individual?","A class is a set of things sharing characteristics; an individual is a particular member of that set. Airline is the class, Delta Air Lines is an individual that instantiates it. Getting this the wrong way round is among the most common modelling errors and it breaks inference straight away, because a reasoner will happily derive properties of every airline from facts that are only true of one of them. The reliable field test: if you can point at it in the world - this aircraft, this company, this contract - it is almost certainly an individual. If it names a kind of thing, it is a class.","Airline is an individual and Delta Air Lines is a class","Airline is a class and Delta Air Lines is an individual","Both are classes, because both describe types of business","Both are individuals, because both are named things","OptionB","medium","classes|individuals|owl"
"Ontology","12","Why Not Just Use a Database Schema?","A relational schema also defines entities, attributes and relationships. What does an OWL ontology give you that a database schema does not?","The deep difference is the open-world assumption. A database schema assumes a closed world: if the record does not say the supplier is certified, then the supplier is not certified. OWL assumes an open world: it is simply not known - which is the honest answer when you are merging data from sources that do not each know everything, and that is the situation an ontology is usually built for. On top of that, OWL is built to infer. Declare that hasParent is the inverse of hasChild and every child link generates its parent link for free. A schema constrains what may be written; an ontology describes what is true and lets a reasoner extend it.","It executes large joins faster","It stores the same data more efficiently","It enforces that every required field is populated before a record can be saved","It supports open-world reasoning - unstated facts are unknown rather than false - and lets a reasoner infer new assertions","OptionD","hard","owl|open-world|reasoning"
