"Category","Question#","Title","Detail_lesson","School","CustomInstruction","Tags","RoundKind"
"Tough Choices","1","Churchill Bets Britain on an Unproven Ally","In 1940, Winston Churchill refused Hitler's peace offer despite Britain standing nearly alone. He chose to fight on, staking national survival on the hope that the U.S. would eventually enter the war. It was a gamble with no guarantee — and it defined the outcome of WWII.","Professional Development","Which of our team's current bets would look like a long shot from outside? What would have to stay true for us to hold course — and what signal should make us fold instead?","tough-choices|wartime|risk-tolerance|conviction","apply"
"Tough Choices","2","Mandela Chooses Reconciliation Over Revenge","After 27 years in prison, Nelson Mandela became South Africa's president in 1994 and chose reconciliation over retribution. He created the Truth and Reconciliation Commission instead of war crimes trials. Many of his own supporters felt betrayed. He believed a fractured nation could not be rebuilt on vengeance.","Professional Development","Where is our team carrying a grievance that is costing us more than it is protecting? What would choosing the generous path look like here, and who would feel betrayed by it?","tough-choices|reconciliation|moral-courage|post-conflict","apply"
"Tough Choices","3","Hiroo Onoda Follows Orders Nobody Rescinded","Japanese soldier Hiroo Onoda fought in the Philippine jungle until 1974 — nearly 30 years after WWII ended — because no one formally relieved him of duty. His loyalty was absolute, but the mission had long since become irrelevant. His commander had to fly to the jungle to personally stand him down.","Professional Development","What are we still executing because nobody formally called it off? Who would have to be the one to stand it down, and what stops them?","tough-choices|adaptability|loyalty|situational-awareness","apply"
"Tough Choices","4","Lincoln Holds a Fractured Cabinet Together","Abraham Lincoln appointed his fiercest political rivals to his Cabinet — what Doris Kearns Goodwin called a 'team of rivals.' Men who had mocked and opposed him now set policy. Lincoln believed their competence mattered more than their loyalty, and he was right.","Professional Development","Who are the sharpest critics of our current direction that we have kept outside the room? What would we gain by bringing them in, and what would it cost us with the people already here?","tough-choices|team-building|ego-management|political-savvy","apply"
"Tough Choices","5","Aung San Suu Kyi Refuses Exile for Freedom","Aung San Suu Kyi was offered release from house arrest in Burma multiple times — on the condition she leave the country permanently. She refused every time, knowing she would lose her movement if she left. She remained under detention for 15 of 21 years between 1989 and 2010.","Professional Development","What easy exit is available to our team right now that we should refuse? What would we lose by taking it that does not show up on any dashboard?","tough-choices|sacrifice|moral-courage|conviction","apply"
"Tough Choices","6","Cleopatra Pivots to Rome for Survival","Cleopatra VII, ousted by her own brother, smuggled herself to Caesar in a rolled carpet and staked Egypt's future on a single alliance. She chose personal risk and political audacity over conventional diplomacy, ultimately preserving her throne for two more decades.","Professional Development","Which single relationship could our team stake its position on this year? What would make that partner worth the bet, and what is our exposure if it fails?","tough-choices|alliance-building|political-risk|survival|influence","apply"
"Tough Choices","7","Ashoka Abandons Conquest After Kalinga","After winning the bloody Kalinga War in 261 BCE, Mauryan Emperor Ashoka surveyed the 100,000 dead and publicly renounced military conquest. He reoriented the entire imperial apparatus toward dharma, welfare, and non-violence — at enormous strategic cost.","Professional Development","Which of our recent wins should we be treating as a warning? What would it take for this team to change course straight after succeeding, when nobody is asking us to?","tough-choices|moral-courage|values-driven|empire|pivot","apply"
"Tough Choices","8","Tokugawa Closes Japan to the World","In 1635, Tokugawa Iemitsu issued the Sakoku Edicts, sealing Japan from foreign trade and expelling nearly all outsiders. The decision sacrificed economic growth and global influence to achieve two centuries of internal peace and cultural consolidation.","Professional Development","Where should our team deliberately close a door — decline the growth, the market, the integration — to protect something we value more? What exactly are we protecting, and who will argue against it?","tough-choices|isolation|long-term-thinking|trade-offs|stability","apply"
"Tough Choices","9","Genghis Khan Promotes Talent Over Bloodline","Breaking with Mongol tradition, Genghis Khan appointed generals and administrators based on loyalty and competence — not tribal birth. He promoted former enemies who had shown skill, creating a meritocratic command structure that outpaced every rival empire of his era.","Professional Development","Who in or around our team is doing the work but does not fit the expected profile for the next role? What in our process is filtering them out, and what would we have to change to promote on capability alone?","tough-choices|meritocracy|talent|tradition-vs-innovation|empire","apply"
"Tough Choices","10","Sadat Flies to Jerusalem Against All Advice","In 1977, Egyptian President Anwar Sadat flew to Israel — a nation Egypt had fought four wars against — and addressed the Knesset in person. Every advisor warned against it. The visit broke a 30-year deadlock and led to the Camp David Accords, and ultimately cost Sadat his life.","Professional Development","What bold move could our team make that the consensus in the room would reject? What would have to be true for us to do it anyway, and who would need to be convinced first?","tough-choices|bold-moves|peace|political-risk|middle-east","apply"
"Tough Choices","11","Cincinnatus Returns the Sword","In 458 BC, Rome handed Cincinnatus absolute power to defeat an invading army. He crushed the enemy in 15 days — then voluntarily surrendered his dictatorship and returned to his farm. No general before him had willingly given back power when he could have kept it.","Professional Development","What authority or leverage does our team hold that it no longer needs? What would we hand back, to whom, and what would we be afraid of losing by doing it?","power|tough-choices|integrity|self-restraint|ancient-leadership","apply"
"Tough Choices","12","Golda Meir Absorbs the Yom Kippur Surprise","On October 6, 1973, Egypt and Syria launched a coordinated surprise attack on Israel. Meir had received intelligence warnings she chose not to act on preemptively, fearing international isolation. She had to lead a nation in crisis while carrying the weight of that call.","Professional Development","What warning signs is our team currently seeing but not acting on? What would it cost us to act early on one of them — and what is the cost of being wrong the other way?","tough-choices|crisis-management|intelligence|risk-assessment|wartime","apply"
"Tough Choices","13","Harriet Tubman Runs the Underground Railroad","After escaping slavery in 1849, Harriet Tubman returned south — repeatedly — to guide others to freedom. Every mission risked recapture and death. She reportedly said she never lost a passenger, a record built on ruthless discipline and zero tolerance for hesitation.","Professional Development","What situation has our team escaped that others are still stuck in? What would it take for us to go back in on their behalf, and what would that risk?","tough-choices|courage|moral-leadership|risk|resilience","apply"
