Category,Question#,Title,QuestionDetail,AnswerDetails,School,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Difficulty,Tags
MTV & the Video Age,1,What was the first music video ever played on MTV?,,"MTV signed on just after midnight on August 1, 1981 and the Buggles clip was a deliberate in-joke about one format killing another. The second video played that night was Pat Benatar's You Better Run.",,Video Killed the Radio Star - The Buggles,You Better Run - Pat Benatar,Bette Davis Eyes - Kim Carnes,Start Me Up - The Rolling Stones,OptionA,easy,
MTV & the Video Age,2,Who directed Michael Jackson's Thriller video?,,"Landis was hired straight off An American Werewolf in London. The 14-minute film cost roughly $500,000; the label refused to fund it, so Jackson paid himself and recouped by selling the making-of documentary.",,Bob Giraldi,John Landis,Steve Barron,Martin Scorsese,OptionB,medium,
MTV & the Video Age,3,Which horror star delivered the spoken-word rap at the end of Thriller?,,"Songwriter Rod Temperton reportedly finished the verse in a taxi on the way to the session, and Price knocked it out in a couple of takes. He was paid a flat session fee rather than royalties.",,Christopher Lee,Boris Karloff,Vincent Price,Peter Cushing,OptionC,easy,
MTV & the Video Age,4,Which band's Take On Me video mixed live action with pencil-sketch animation?,,The rotoscoped sequences took months and thousands of hand-drawn frames. The song had already been released and flopped twice before the video turned it into a worldwide hit.,,Duran Duran,Tears for Fears,The Human League,a-ha,OptionD,easy,
MTV & the Video Age,5,Who sings the I want my MTV refrain on Dire Straits' Money for Nothing?,,Sting was later given a co-writing credit because the line reuses the melody of The Police's Don't Stand So Close to Me. The song's computer-animated video was cutting-edge for 1985 and looks charmingly blocky now.,,Sting,Phil Collins,Peter Gabriel,Bryan Ferry,OptionA,hard,
MTV & the Video Age,6,In what year did MTV first go on the air?,,At launch MTV reached only a few thousand cable homes in northern New Jersey and was not carried in New York City at all. The I Want My MTV campaign was aimed at getting viewers to pressure their own cable operators.,,1979,1980,1981,1983,OptionC,easy,
MTV & the Video Age,7,Which of these was one of MTV's five original 1981 VJs?,,"The original five were Martha Quinn, Mark Goodman, Nina Blackwood, Alan Hunter and J.J. Jackson. Quinn was hired last, shortly before the channel signed on, and became the most recognisable of the group.",,Downtown Julie Brown,Adam Curry,Martha Quinn,Kurt Loder,OptionC,medium,
MTV & the Video Age,8,Who performed Like a Virgin in a wedding dress at the first MTV Video Music Awards?,,"Her veil slipped during the routine and she rolled around on the floor to retrieve it, flashing the cameras. Her manager reportedly thought the performance had just ended her career.",,Cyndi Lauper,Madonna,Pat Benatar,Annie Lennox,OptionB,easy,
MTV & the Video Age,9,Which video won Video of the Year at the very first MTV Video Music Awards in 1984?,,The Cars clip was an early showcase for digital compositing and morphing effects. Herbie Hancock's Rockit took five awards that same night but lost the top prize.,,You Might Think - The Cars,Thriller - Michael Jackson,Girls Just Want to Have Fun - Cyndi Lauper,Rockit - Herbie Hancock,OptionA,hard,
MTV & the Video Age,10,Which artist's stop-motion Sledgehammer video won a record nine MTV Video Music Awards?,,"He lay under a sheet of glass for around sixteen hours of frame-by-frame shooting. The animation team included the Brothers Quay and Aardman, who would later make Wallace and Gromit.",,David Byrne,Phil Collins,Tom Petty,Peter Gabriel,OptionD,medium,
MTV & the Video Age,11,In what year did MTV launch its hip-hop show Yo! MTV Raps?,,The pilot rated well enough that MTV made it a regular series within months. It gave rap its first daily national platform on a channel that had been criticised for barely playing Black artists.,,1984,1986,1988,1990,OptionC,hard,
MTV & the Video Age,12,Which artist's Addicted to Love video used a band of identically styled models?,,"Fashion photographer Terence Donovan directed it and modelled the look on illustrator Patrick Nagel's artwork. It was parodied for years afterwards, including in adverts and by other musicians.",,Bryan Adams,Robert Palmer,Rod Stewart,Billy Idol,OptionB,hard,
MTV & the Video Age,13,Which rap group joined Aerosmith on the 1986 remake of Walk This Way?,,"The group initially disliked the idea and dismissed the original as noise. Producer Rick Rubin pushed it through, and the video's wall-smashing gag became shorthand for rap crossing into rock radio.",,Public Enemy,Beastie Boys,N.W.A,Run-DMC,OptionD,medium,
Pop & Rock Chart-Toppers,14,Who organised the 1985 Live Aid concerts?,,He built Live Aid out of the Band Aid charity single he had made the previous year with Ultravox's Midge Ure. The two shows ran on the same day at Wembley Stadium in London and JFK Stadium in Philadelphia.,,Bob Geldof,Bono,Elton John,Paul McCartney,OptionA,easy,
Pop & Rock Chart-Toppers,15,Which two artists co-wrote We Are the World?,,"Quincy Jones produced the overnight session, held straight after the 1985 American Music Awards while the stars were already in town. He hung a sign on the studio door reading check your egos at the door.",,Stevie Wonder and Quincy Jones,Michael Jackson and Lionel Richie,Bruce Springsteen and Billy Joel,Kenny Rogers and Diana Ross,OptionB,medium,
Pop & Rock Chart-Toppers,16,Which artist released the album Born in the U.S.A. in 1984?,,"The title track is a bleak song about a Vietnam veteran coming home to nothing, but the huge chorus got it widely mistaken for a patriotic anthem, including by politicians who asked to use it on the campaign trail.",,John Mellencamp,Tom Petty,Bruce Springsteen,Bob Seger,OptionC,easy,
Pop & Rock Chart-Toppers,17,Synchronicity was the final studio album by which band?,,"Relations had deteriorated so badly that the three members recorded much of it in separate rooms. Every Breath You Take, a song written from the point of view of a stalker, is still routinely played at weddings.",,The Police,The Clash,Duran Duran,The Cars,OptionA,medium,
Pop & Rock Chart-Toppers,18,Which artist starred in the 1984 film Purple Rain and recorded its soundtrack?,,"The soundtrack won the Academy Award for Best Original Song Score, a category the Academy later retired entirely. Much of the film was shot in and around the First Avenue club in Minneapolis.",,Rick James,Michael Jackson,Lionel Richie,Prince,OptionD,easy,
Pop & Rock Chart-Toppers,19,"Which supergroup featured George Harrison, Bob Dylan, Tom Petty, Roy Orbison and Jeff Lynne?",,The group came together almost by accident while recording a throwaway B-side in Dave Stewart's garage studio. Each member took a Wilbury half-brother alias; Orbison died only months after the first album appeared.,,Asia,The Power Station,Traveling Wilburys,Bad English,OptionC,hard,
Pop & Rock Chart-Toppers,20,Which band released The Joshua Tree in 1987?,,"Brian Eno and Daniel Lanois produced it, and the band came close to abandoning the sessions. The sleeve was shot in the California desert, and the lone Joshua tree from the photo shoot fell over in 2000.",,Simple Minds,R.E.M.,INXS,U2,OptionD,easy,
Pop & Rock Chart-Toppers,21,Which duo was made up of George Michael and Andrew Ridgeley?,,"They were the first Western pop act to perform in China, in 1985, playing Beijing to a bemused and largely motionless audience. They split the following year with a farewell Wembley show billed as The Final.",,Tears for Fears,Hall and Oates,Pet Shop Boys,Wham!,OptionD,easy,
Pop & Rock Chart-Toppers,22,Which singer left Van Halen in 1985 and was replaced by Sammy Hagar?,,"He walked after a solo EP took off and he clashed with the band over a film project. The next album, 5150, gave the group a glossier sound and split the fanbase into two camps that still argue about it.",,David Lee Roth,Vince Neil,Steve Perry,Ronnie James Dio,OptionA,medium,
Pop & Rock Chart-Toppers,23,Annie Lennox and Dave Stewart made up which duo?,,The two had been a couple and played together in the band The Tourists before this project. Sweet Dreams was recorded cheaply in a small London attic studio on borrowed and second-hand equipment.,,Soft Cell,Eurythmics,Yazoo,The Communards,OptionB,medium,
Pop & Rock Chart-Toppers,24,In what year did Whitney Houston release her self-titled debut album?,,Clive Davis signed her as a teenager and spent roughly two years assembling the record around her. She came from a singing family: her mother was Cissy Houston and Dionne Warwick was her cousin.,,1983,1985,1987,1989,OptionB,hard,
Pop & Rock Chart-Toppers,25,Appetite for Destruction was the 1987 debut album by which band?,,The original Robert Williams cover painting was pulled after retailers refused to stock it and replaced with the cross-and-skulls design. The album was a slow burner that took about a year to properly break through.,,Poison,Motley Crue,Guns N' Roses,Skid Row,OptionC,medium,
Blockbusters & Brat Pack,26,Who directed E.T. the Extra-Terrestrial?,,"Mars turned down a product placement offer for M&M's, so the production used Reese's Pieces instead and the sweets saw a sharp sales jump. The young cast were shot largely in sequence to keep their reactions genuine.",,George Lucas,Steven Spielberg,Ridley Scott,Robert Zemeckis,OptionB,easy,
Blockbusters & Brat Pack,27,What make of car was the time machine in Back to the Future?,,"An early draft used a refrigerator as the time machine, dropped partly over worries that children would climb into fridges. The car was chosen because its gull-wing doors let it pass for a spacecraft.",,Pontiac Firebird,Chevrolet Corvette,DeLorean DMC-12,Ford Mustang,OptionC,easy,
Blockbusters & Brat Pack,28,Who wrote and directed The Breakfast Club?,,The library was a set built inside the gymnasium of a closed high school outside Chicago. He shot much of the film in sequence so the cast's growing familiarity would show on screen.,,John Hughes,Cameron Crowe,Amy Heckerling,Joel Schumacher,OptionA,easy,
Blockbusters & Brat Pack,29,Which 1986 film starred Tom Cruise as a fighter pilot called Maverick?,,"The Navy set up recruiting tables in cinema lobbies during the run and reported a sharp rise in applications. The production paid the Navy for flight time, which is why so much of the aerial footage is real.",,Days of Thunder,Top Gun,The Right Stuff,Iron Eagle,OptionB,easy,
Blockbusters & Brat Pack,30,Which actor played Indiana Jones's father in Indiana Jones and the Last Crusade?,,He is only about twelve years older than Harrison Ford. Spielberg wanted him partly because the James Bond films had inspired the character of Indiana Jones in the first place.,,Michael Caine,Richard Attenborough,Peter O'Toole,Sean Connery,OptionD,medium,
Blockbusters & Brat Pack,31,Who recorded the theme song to Ghostbusters?,,Huey Lewis sued over the song's resemblance to I Want a New Drug and the case was settled out of court. The song was written fast against a very tight deadline after other attempts were rejected.,,Kenny Loggins,Lionel Richie,Huey Lewis,Ray Parker Jr.,OptionD,medium,
Blockbusters & Brat Pack,32,Who directed The Empire Strikes Back?,,"He had taught George Lucas at film school, and Lucas hired him precisely because he was not a Hollywood action director. The Vader revelation was kept out of the circulated script, with a different line given on set to stop leaks.",,George Lucas,Richard Marquand,Irvin Kershner,Lawrence Kasdan,OptionC,hard,
Blockbusters & Brat Pack,33,Which 1982 Ridley Scott film was adapted from Philip K. Dick's Do Androids Dream of Electric Sheep?,,"It underperformed on release and only became a landmark through repertory screenings, home video and later recut versions.",,Blade Runner,Tron,The Thing,Videodrome,OptionA,medium,
Blockbusters & Brat Pack,34,Who played the title role in Ferris Bueller's Day Off?,,"The Ferrari was a fibreglass replica rather than a real 250 GT California, which is just as well given what happens to it. John Hughes reportedly wrote the script in under a week.",,Judd Nelson,Andrew McCarthy,Matthew Broderick,Emilio Estevez,OptionC,easy,
Blockbusters & Brat Pack,35,Which actor held a boombox over his head outside Diane's window in Say Anything?,,"The film was Cameron Crowe's directing debut. The song coming out of the boombox is Peter Gabriel's In Your Eyes, picked late in the process, and the actor has said the moment felt awkward to shoot.",,John Cusack,Rob Lowe,Jon Cryer,Anthony Michael Hall,OptionA,hard,
Blockbusters & Brat Pack,36,Which 1987 film paired Patrick Swayze and Jennifer Grey at a Catskills resort?,,It was made on a modest budget and the studio expected it to go straight to video. Its song The Time of My Life went on to win the Academy Award for Best Original Song.,,Footloose,Flashdance,Dirty Dancing,Cocktail,OptionC,easy,
Blockbusters & Brat Pack,37,Who directed The Terminator?,,He has said the central image came to him in a fever dream while he was broke and stranded in Rome. Schwarzenegger was first discussed for the hero role before everyone realised he made a better machine.,,John Carpenter,James Cameron,Ridley Scott,Walter Hill,OptionB,medium,
Blockbusters & Brat Pack,38,"Which actress starred in Sixteen Candles, The Breakfast Club and Pretty in Pink?",,The ending of Pretty in Pink was reshot after test audiences rejected the original pairing. She appeared on the cover of Time in 1986 as the face of the teen film boom.,,Ally Sheedy,Demi Moore,Mare Winningham,Molly Ringwald,OptionD,medium,
Prime Time & Saturday Morning,39,Which prime-time soap centred on the Ewing family and their oil fortune?,,"The Who Shot J.R. cliffhanger stretched across eight months, extended by a writers' strike, and the resolution episode in November 1980 drew one of the largest US television audiences ever recorded.",,Dynasty,Falcon Crest,Knots Landing,Dallas,OptionD,easy,
Prime Time & Saturday Morning,40,In which city was the bar in Cheers set?,,"The exterior shots used the Bull and Finch Pub on Beacon Street, which became a tourist attraction. The show finished near the bottom of the ratings in its first season and survived only because the network stuck with it.",,Boston,Chicago,Philadelphia,Baltimore,OptionA,easy,
Prime Time & Saturday Morning,41,Which actor played B.A. Baracus on The A-Team?,,"Born Laurence Tureaud, he had worked as a bodyguard before acting. His character's fear of flying was written in as a running gag, forcing the team to sedate him before every flight.",,Carl Weathers,Mr. T,Louis Gossett Jr.,Ernie Hudson,OptionB,medium,
Prime Time & Saturday Morning,42,Which actor played Sonny Crockett on Miami Vice?,,The series is said to have begun life as a two-word network memo reading MTV cops. Its pastel palette and use of current pop records changed what television was allowed to look and sound like.,,Don Johnson,Philip Michael Thomas,Tom Selleck,Bruce Willis,OptionA,medium,
Prime Time & Saturday Morning,43,Which actor played Alex P. Keaton on Family Ties?,,"He shot Back to the Future at night and at weekends while filming the series by day, shuttling between two studio lots on very little sleep. The character, a young Republican in a household of ex-hippies, was meant to be a supporting role.",,Kirk Cameron,Scott Baio,Ralph Macchio,Michael J. Fox,OptionD,medium,
Prime Time & Saturday Morning,44,"In He-Man and the Masters of the Universe, what was He-Man's alter ego?",,"The cartoon existed to sell a Mattel toy line that had no film or comic behind it, reversing the usual order of things. Each episode closed with a spoken moral lesson to satisfy broadcast standards about advertising to children.",,Prince Adam,Duncan,Randor,Keldor,OptionA,hard,
Prime Time & Saturday Morning,45,Who was the leader of the Autobots in The Transformers?,,The toys were repackaged from two Japanese Takara lines and given names and personalities by Marvel Comics writers in the US. His on-screen death in the 1986 animated film upset so many children that later episodes brought him back.,,Megatron,Optimus Prime,Bumblebee,Starscream,OptionB,easy,
Prime Time & Saturday Morning,46,Which Saturday morning cartoon featured small blue characters living in mushroom houses?,,They originated in Belgian comics by the artist Peyo and had been around since the 1950s. NBC reportedly picked them up in 1981 after a network executive's daughter took a liking to one of the dolls.,,The Snorks,Fraggle Rock,Gummi Bears,The Smurfs,OptionD,medium,
Prime Time & Saturday Morning,47,What was the name of the talking car in Knight Rider?,,"The name stood for Knight Industries Two Thousand and the car was built on a Pontiac Trans Am. The voice belonged to actor William Daniels, who asked not to be credited for it.",,KARR,KITT,HAL,ARNIE,OptionB,medium,
Prime Time & Saturday Morning,48,In what year did M*A*S*H air its final episode?,,"Goodbye, Farewell and Amen ran two and a half hours in February and remains the most watched scripted episode in US television history. The series ran roughly four times longer than the Korean War it depicted.",,1979,1981,1983,1985,OptionC,hard,
Prime Time & Saturday Morning,49,ALF was an alien from which home planet?,,"The title character was a puppet operated from a trench cut into the set floor, which made the show slow and expensive to shoot. His appetite for the family cat was a running joke that drew steady viewer complaints.",,Melmac,Ork,Remulak,Antares,OptionA,medium,
Prime Time & Saturday Morning,50,"Which sitcom featured the characters Blanche, Rose, Dorothy and Sophia?",,"All four leads were nominated for the lead actress Emmy and each one won it at some point during the run, a clean sweep almost no other ensemble has managed. It was set in Miami and built around women over fifty, which networks then considered a poor bet.",,Kate and Allie,Designing Women,Murphy Brown,The Golden Girls,OptionD,easy,
Gadgets That Felt Like the Future,51,What was Sony's 1979 pocket cassette player called?,,Sony's own sales people expected a tape machine that could not record to flop. The first model shipped with two headphone jacks so two people could listen to the same song at once.,,Walkman,Discman,Soundwave,Trinitron,OptionA,easy,
Gadgets That Felt Like the Future,52,Which home video format won the format war of the early 1980s?,,"Sony guarded Betamax and licensed it to almost nobody, while JVC handed VHS to any manufacturer who asked. The war was lost in boardrooms rather than on picture quality, and Sony quietly kept making Betamax tapes until 2016.",,LaserDisc,Betamax,VHS,Video 2000,OptionC,easy,
Gadgets That Felt Like the Future,53,Which two companies jointly developed the audio compact disc?,,"Philips brought the optical disc and the laser pickup, Sony brought the error-correction maths, and the two rivals sat in a joint task force for a year to agree one standard. Doing it together is precisely why there was no format war this time.",,Sony and Philips,JVC and Toshiba,Panasonic and Sharp,RCA and Pioneer,OptionA,medium,
Gadgets That Felt Like the Future,54,"Which company sold the first handheld mobile phone, in 1983?",,"The DynaTAC 8000X weighed about as much as a bag of sugar, needed ten hours on charge for thirty minutes of talk, and cost nearly four thousand dollars. There was still a waiting list.",,Nokia,Ericsson,Motorola,Bell Labs,OptionC,medium,
Gadgets That Felt Like the Future,55,Whose 1981 personal computer became the design every rival copied?,,IBM built it fast by buying parts off the shelf and licensing the operating system from a small firm called Microsoft rather than owning it outright. That single decision let competitors build legal clones and turned the PC into an industry instead of a product.,,Apple,IBM,Commodore,Tandy,OptionB,easy,
Gadgets That Felt Like the Future,56,Who directed Apple's famous 1984 Macintosh commercial?,,Apple's own board disliked it so much they tried to have the airtime sold off. It ran once as a national spot during the Super Bowl and is still taught as the moment advertising decided it could be cinema.,,Steven Spielberg,George Lucas,James Cameron,Ridley Scott,OptionD,medium,
Gadgets That Felt Like the Future,57,What does the 64 in Commodore 64 refer to?,,"Sixty-four kilobytes of memory was an extravagance in 1982, and Commodore could sell it cheap because it owned the chip factory that made its own processors. Every rival had to buy its silicon from somebody else.",,64 kilobytes of memory,64 on-screen colours,64 sound channels,64 keys on the keyboard,OptionA,medium,
Gadgets That Felt Like the Future,58,The word camcorder is a mash-up of which two words?,,"Before it existed you carried a camera in one hand and a separate recording deck slung over your shoulder, joined by a cable. Putting both in one box is the only reason 1980s birthday parties survive on tape at all.",,Camera and recorder,Camera and decoder,Cassette and recorder,Camera and cartridge,OptionA,easy,
Gadgets That Felt Like the Future,59,What did Sony call its 1984 portable CD player?,,"The D-50 was roughly the size of four CD cases stacked together, at a time when the first CD players had been the size of a small suitcase. Shops demonstrated it by knocking the machine mid-song to prove a laser could not skip like a needle.",,Soundabout,Compactman,Laserman,Discman,OptionD,medium,
Gadgets That Felt Like the Future,60,In which year did Microsoft release the first version of Windows?,,"Microsoft announced it in 1983 and shipped roughly two years late, long enough for the trade press to file it under vapourware. Version 1.0 could not even overlap its windows; they sat side by side like tiles.",,1983,1985,1987,1989,OptionB,hard,
Gadgets That Felt Like the Future,61,Which Apple computer brought a mouse and an on-screen desktop to buyers in 1983?,,It cost around ten thousand dollars and was outsold within a year by the cheaper Macintosh that borrowed its ideas. Apple eventually buried thousands of unsold units in a Utah landfill.,,Apple III,Apple IIe,Lisa,Newton,OptionC,hard,
Gadgets That Felt Like the Future,62,How wide is a standard compact disc?,,"The size was a compromise: Philips wanted a disc small enough for a jacket pocket, Sony pushed for more playing time. The smaller eight centimetre version did exist too, sold as the CD single.",,8 centimetres,18 centimetres,25 centimetres,12 centimetres,OptionD,medium,
Gadgets That Felt Like the Future,63,Which British home computer of 1982 was famous for its rubber keys?,,"Programs loaded from ordinary audio cassettes, so a generation learned that a game sounded like a screaming modem for four minutes before it either loaded or did not. The keyboard was widely nicknamed dead flesh.",,BBC Micro,Acorn Atom,Amstrad CPC,ZX Spectrum,OptionD,hard,
Headlines,64,In which year did the Berlin Wall come down?,,"The border opened on the strength of a muddled press conference: an East German official read out a note about new travel rules, was asked when they took effect, and improvised the words immediately, without delay. Crowds heard it on the news and simply walked to the checkpoints.",,1987,1988,1989,1990,OptionC,easy,
Headlines,65,Live Aid was staged in London and which American city?,,"The two stages ran on a rolling handover so the broadcast never stopped, and every act performed to a countdown clock at the front of the stage. Queen's twenty minutes at Wembley are still routinely voted the greatest live performance ever given.",,New York,Philadelphia,Los Angeles,Chicago,OptionB,easy,
Headlines,66,What was the title of the 1984 Band Aid charity single?,,"It was written and recorded across a single weekend by whoever Bob Geldof could get into a studio at short notice. Feed the world is a line in the song, not its title.",,We Are the World,Feed the World,That's What Friends Are For,Do They Know It's Christmas?,OptionD,easy,
Headlines,67,Who produced the 1985 charity single We Are the World?,,"The session was held the night of the American Music Awards so the entire industry was already in Los Angeles, and a sign at the studio door told everyone to check their egos at the door. Some forty superstars got it done in one overnight session.",,Phil Spector,George Martin,Quincy Jones,Berry Gordy,OptionC,medium,
Headlines,68,Which teacher was aboard the Challenger in January 1986?,,"She was picked from more than eleven thousand applicants for the Teacher in Space programme, which is why so many classrooms were watching the launch live. Her backup, Barbara Morgan, finally flew to the space station in 2007.",,Christa McAuliffe,Judith Resnik,Sally Ride,Barbara Morgan,OptionA,easy,
Headlines,69,Where did Charles and Diana marry in July 1981?,,"St Paul's was chosen over Westminster Abbey partly because it seated more guests and gave a far longer aisle for the cameras. Diana's dress carried a train roughly twenty-five feet long, and she got Charles's names out of order in her vows.",,Westminster Abbey,St Paul's Cathedral,Windsor Castle,Canterbury Cathedral,OptionB,medium,
Headlines,70,The Chernobyl nuclear plant is in which country?,,"The Soviet Union said nothing for two days. The alarm was raised from outside, when workers arriving at a Swedish nuclear plant set off its radiation detectors and the contamination turned out to be on their clothes, blown in from a thousand miles away.",,Belarus,Poland,Russia,Ukraine,OptionD,easy,
Headlines,71,"Who became the first American woman in space, in 1983?",,"She held a doctorate in physics, and reporters still asked whether she cried when things went wrong at work. Engineers seriously proposed sending a hundred tampons on a week-long flight and asked whether that would be enough.",,Mae Jemison,Sally Ride,Eileen Collins,Judith Resnik,OptionB,medium,
Headlines,72,Gorbachev's reforms were called perestroika and what else?,,Perestroika meant restructuring the economy; the other word meant openness. It was the openness that proved impossible to switch off once newspapers began printing what people already knew.,,Glasnost,Detente,Solidarity,Sputnik,OptionA,medium,
Headlines,73,The Exxon Valdez ran aground in 1989 off which US state?,,"It struck a well-charted reef in Prince William Sound, in calm water, on a clear night. The disaster led directly to a US law requiring oil tankers to be built with double hulls.",,Maine,Louisiana,Alaska,California,OptionC,medium,
Headlines,74,Which American volcano erupted catastrophically in May 1980?,,"The north face of the mountain slid away first, in the largest landslide ever recorded, and that is what uncorked the blast sideways instead of upward. By that afternoon the summit was about thirteen hundred feet lower than it had been at breakfast.",,Mount Rainier,Kilauea,Mount Shasta,Mount St. Helens,OptionD,easy,
Headlines,75,In 1989 Voyager 2 became the first spacecraft to fly past which planet?,,"It had launched twelve years earlier and used each planet's gravity to slingshot toward the next, an alignment that only comes around roughly every 175 years. Neptune was the last stop before it headed out of the solar system for good.",,Jupiter,Saturn,Uranus,Neptune,OptionD,hard,
"Toys, Fads & Fashion",76,Rubik's Cube was invented by a professor from which country?,,"Erno Rubik built it as a teaching aid to explain three-dimensional movement to his design students, and only realised he had a puzzle when he scrambled it and could not put it back. It took him about a month to solve his own invention.",,Poland,Hungary,Austria,Czechoslovakia,OptionB,easy,
"Toys, Fads & Fashion",77,What came with every Cabbage Patch Kid?,,"You did not buy one, you adopted one, and each doll had a slightly different face because the moulds were mixed and matched. That one word, adoption, is why parents wrestled each other in toy aisles at Christmas 1983.",,A birth certificate and adoption papers,A cassette of its theme song,A miniature cabbage,A lifetime warranty card,OptionA,easy,
"Toys, Fads & Fashion",78,Which company made the Trapper Keeper?,,"It came out of genuine market research: the designer found students were shedding loose sheets out of ring binders, so the inner folders got angled pockets to trap the paper. The velcro flap is the part every teacher learned to dread.",,Crayola,Mead,Bic,Elmer's,OptionB,hard,
"Toys, Fads & Fashion",79,Hasbro's Transformers were built from toy lines originally made in which country?,,"Hasbro licensed the moulds from Takara's existing transforming robot ranges, then hired Marvel Comics to invent names and personalities for them. The characters were written to fit toys that already existed, not the other way round.",,Japan,Germany,South Korea,Italy,OptionA,medium,
"Toys, Fads & Fashion",80,What was Teddy Ruxpin?,,"The cassette in his back carried the story on one track and the motor cues on the other, so his eyes and mouth moved in time with the words. Put in the wrong tape and he twitched his way through it like a haunted animatronic.",,A talking bear that read stories from a cassette,A robot dog that fetched,A doll that grew hair,A bear that changed colour in water,OptionA,easy,
"Toys, Fads & Fashion",81,What was the name of He-Man's fortress?,,"Mattel had the toy line before it had a cartoon, and used mini-comics packed in every box to teach kids the mythology. Skeletor's rival base, Snake Mountain, came with a voice-changing microphone built into it.",,Snake Mountain,Point Dread,Castle Grayskull,Eternia,OptionC,medium,
"Toys, Fads & Fashion",82,Care Bears began life as artwork on what?,,American Greetings commissioned the characters as card illustrations first and only licensed plush toys once the cards sold. It is one of the earliest cases of a character being designed for the merchandise before it had a single story.,,Greeting cards,Cereal boxes,Lunchboxes,Postage stamps,OptionA,medium,
"Toys, Fads & Fashion",83,Which 1983 film sent leg warmers and torn sweatshirts into every mall?,,"The torn sweatshirt was reportedly an accident: the garment had shrunk, someone cut the neck out so it would go on, and the look then sold in millions. Much of the dancing was performed by an uncredited double.",,Fame,Footloose,Flashdance,Dirty Dancing,OptionC,medium,
