Category,Question#,Title,Detail_lesson,School,CustomInstruction
"Entertainment","1","Team Building Movie Night","Planning a virtual team movie night to discuss favorite films","Professional Development","List 10 of your favorite movies that you think would spark great team discussions"
"Entertainment","2","Team Movie Night Planning","The team is organizing a virtual movie night and wants to collect everyone's preferences.","Team Building","List 10 of your favorite movies from any genre
List 10 of your favorite TV shows
List 10 of your favorite actors/actresses
List 10 of your favorite directors
List 10 of your favorite movie soundtracks"
"Entertainment","3","Team Movie Night Planning","The team is organizing a monthly virtual movie night to build connections.","Team Building","List 10 of your favorite movies that you'd recommend for a team movie night discussion. Include why you love each one."
"Entertainment","4","Team Movie Night Planning","The team is organizing a virtual movie night and wants to collect everyone's preferences.","Team Building","List 10 of your favorite movies from any genre
List 10 of your favorite TV shows
List 10 of your favorite actors/actresses
List 10 of your favorite directors"
"Professional Resources","1","Professional Growth Library","Creating a shared team resource library","Professional Development","List 10 of your favorite business books or professional development resources that have influenced your career"
"Professional Resources","2","Professional Development Library","Building a shared knowledge base of valuable professional resources for the team.","Career Growth","List 10 of your favorite business books
List 10 of your favorite professional podcasts
List 10 of your favorite industry newsletters
List 10 of your favorite productivity tools
List 10 of your favorite professional mentors or influencers"
"Professional Resources","3","Professional Development Library","Creating a shared knowledge base of valuable learning resources for the team.","Professional Development","List 10 of your favorite professional development books, podcasts, or online courses that have impacted your career growth."
"Professional Resources","4","Professional Development Library","Building a shared resource library for the team's professional growth.","Professional Development","List 10 of your favorite business books
List 10 of your favorite professional development podcasts
List 10 of your favorite industry blogs
List 10 of your favorite career mentors or influencers"
"Places & Travel","1","Remote Work Destinations","Planning potential team workation locations","Professional Development","List 10 of your favorite cities or destinations that would make great remote work locations"
"Places & Travel","2","Team Retreat Planning","Collecting location preferences for an upcoming team retreat.","Team Building","List 10 of your favorite travel destinations
List 10 of your favorite cities worldwide
List 10 of your favorite hotels or resorts
List 10 of your favorite restaurants globally
List 10 of your favorite local attractions"
"Places & Travel","3","Team Retreat Planning","Planning the annual team retreat and gathering destination ideas.","Team Building","List 10 of your favorite travel destinations that would make great locations for a team retreat. Include activities available at each location."
"Places & Travel","4","Team Retreat Planning","Planning the annual team retreat and gathering destination ideas.","Team Building","List 10 of your favorite travel destinations
List 10 of your favorite cities to visit
List 10 of your favorite restaurants worldwide
List 10 of your favorite hotels or resorts"
"Personal Growth","1","Mentorship Network","Building an internal mentorship program","Professional Development","List 10 of your favorite mentors or influential people who have shaped your professional journey"
"Personal Growth","2","Personal Growth Initiative","Sharing resources and recommendations for personal development.","Professional Development","List 10 of your favorite self-help books
List 10 of your favorite motivational speakers
List 10 of your favorite learning platforms
List 10 of your favorite personal development apps
List 10 of your favorite wellness practices"
"Personal Growth","3","Mentorship Program","Establishing a mentorship program and identifying potential mentors.","Career Development","List 10 of your favorite mentors or role models (past or present) and what you've learned from each of them."
"Personal Growth","4","Wellness Initiative","Creating a wellness program and collecting team members' preferred activities.","Professional Development","List 10 of your favorite self-help books
List 10 of your favorite wellness apps
List 10 of your favorite meditation or mindfulness practices
List 10 of your favorite fitness activities"
"Hobbies & Interests","1","Team Hobby Share","Connecting team members through shared interests","Professional Development","List 10 of your favorite hobbies or activities you'd be willing to teach others about"
"Hobbies & Interests","2","Team Hobby Exchange","Connecting team members through shared interests and activities.","Team Building","List 10 of your favorite hobbies
List 10 of your favorite sports or fitness activities
List 10 of your favorite music artists
List 10 of your favorite creative outlets
List 10 of your favorite weekend activities"
"Hobbies & Interests","3","Lunch & Learn Sessions","Team members share their hobbies and interests during lunch breaks.","Knowledge Sharing","List 10 of your favorite hobbies or interests that you'd be willing to teach others about in a lunch & learn session."
"Hobbies & Interests","4","Team Building Activities","Planning team building activities based on shared interests.","Team Building","List 10 of your favorite hobbies
List 10 of your favorite sports or outdoor activities
List 10 of your favorite board games
List 10 of your favorite creative pursuits"
