Category,Question#,Title,Detail_lesson,School,CustomInstruction,Image
"Ways of Working",1,"Handoff","A project review notes that most of the delay happened at a single **Handoff** between two teams.","","Type five single words, not phrases. Include the obvious ones - overlap between people is the whole point of the exercise.",""
"Ways of Working",2,"Deadline","The quarterly plan is circulated with one date highlighted in bold: the **Deadline**.","","Give five single words that describe how this lands for you, not what the dictionary says. First instinct, no editing.",""
"Ways of Working",3,"Backlog","A new joiner opens the tracker for the first time and asks what everything in the **Backlog** is for.","","Five single words. Aim for what the thing actually is in your team, not what it is supposed to be.",""
"Leadership",4,"Trust","During a team health check, the highest and lowest scoring statement both turn out to be about **Trust**.","","Five single words. Include behaviours as well as feelings - what trust looks like counts as much as how it feels.",""
"Leadership",5,"Accountability","A leadership update says the priority for this year is stronger **Accountability** across the organisation.","","Five single words. If a word feels uncomfortable, type it anyway - the honest cluster is more useful than the polished one.",""
"Leadership",6,"Mentor","Someone two years into their career asks you how to find a **Mentor**.","","Five single words describing what the role does in practice, not the qualities a mentor should have on paper.",""
"Technology",7,"Automation","A proposal lands on your desk promising significant **Automation** of a process your team runs by hand today.","","Five single words. Split them naturally between what you gain and what you give up - do not balance them deliberately.",""
"Technology",8,"Legacy","An architecture diagram labels one large box in the middle simply as **Legacy**.","","Five single words. Describe what it is like to work with, not whether it should be replaced.",""
"Customer",9,"Feedback","A customer call ends with an offer to send through some detailed **Feedback**.","","Five single words for your genuine first reaction, before the professional one arrives.",""
"Customer",10,"Onboarding","A prospective customer signs the contract and asks how long **Onboarding** usually takes.","","Five single words. Answer from the customer's side of the process rather than yours.",""
